window_id,dataset_family,data_domain,sequence,window_start_s,window_end_s,texture_stratum,selection_tier,heldout_class,external_held_out,b1_frontend_status,p_frontend_status,m_frontend_status,p_accepted_lineage_count,d_resolution,frontend_triplet_terminal,backend_queue_frozen,backend_replays_terminal,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,trajectory_outcome_read,p_frontend_audit,status,reporting_boundary
afrl:bus_outside:0001,afrl,AFRL stereo VI,bus_outside,45.0,90.0,low,ABSOLUTE_LOW,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A01:0003,aqualoc_archaeology,AQUALOC archaeology,A01,135.0,180.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,810.0,855.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_005_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/audit_v2.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A03:0001,aqualoc_archaeology,AQUALOC archaeology,A03,45.0,90.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_019_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A07:0002,aqualoc_archaeology,AQUALOC archaeology,A07,90.0,135.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A10:0013,aqualoc_archaeology,AQUALOC archaeology,A10,585.0,630.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_harbor:H02:0007,aqualoc_harbor,AQUALOC harbor,H02,315.0,360.0,low,RELATIVE_Q80_FALLBACK,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
ntnu:fjord_6:0002,ntnu,NTNU underwater VI,fjord_6,90.0,135.0,low,ABSOLUTE_LOW,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_017_isj_p07_ntnu_fjord_6_0002_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
ntnu:fjord_6:0003,ntnu,NTNU underwater VI,fjord_6,135.0,180.0,low,ABSOLUTE_LOW,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A04:0002,aqualoc_archaeology,AQUALOC archaeology,A04,90.0,135.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A07:0001,aqualoc_archaeology,AQUALOC archaeology,A07,45.0,90.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A08:0002,aqualoc_archaeology,AQUALOC archaeology,A08,90.0,135.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_archaeology:A10:0007,aqualoc_archaeology,AQUALOC archaeology,A10,315.0,360.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_harbor:H01:0000,aqualoc_harbor,AQUALOC harbor,H01,0.0,45.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_harbor:H03:0001,aqualoc_harbor,AQUALOC harbor,H03,45.0,90.0,normal,STRICT_NORMAL,SEQUENCE_UNSEEN_OUTCOME_BLIND_WINDOW,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,single_sequence_unseen_normal_window
aqualoc_harbor:H04:0003,aqualoc_harbor,AQUALOC harbor,H04,135.0,180.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,PLANNED,PLANNED,PLANNED,,PENDING_APPLICABILITY,0,0,0,,,,,0,,P07_FRONTEND_IN_PROGRESS,outcome_blind_exact_history_excluded_window
aqualoc_harbor:H05:0002,aqualoc_harbor,AQUALOC harbor,H05,90.0,135.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_007_isj_p07_aqualoc_harbor_h05_0002_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
aqualoc_harbor:H06:0000,aqualoc_harbor,AQUALOC harbor,H06,0.0,45.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_015_isj_p07_aqualoc_harbor_h06_0000_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
ntnu:fjord_6:0001,ntnu,NTNU underwater VI,fjord_6,45.0,90.0,normal,STRICT_NORMAL,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,false,COMPLETED,COMPLETED,COMPLETED,0,NOT_APPLICABLE,1,0,0,,,,,0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_011_isj_p07_ntnu_fjord_6_0001_p_attempt01/audit_v3.json,FRONTEND_TERMINAL_TRAJECTORY_SEALED,outcome_blind_exact_history_excluded_window
