protocol_version,quota_protocol,dataset_family,data_domain,sequence,window_id,window_index,window_start_s,window_end_s,texture_stratum,selection_tier,score,sequence_q20,sequence_q80,input_frame_count,split_role,outcome_boundary
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,afrl,AFRL stereo VI,bus_outside,afrl:bus_outside:0001,1,45.0,90.0,low,ABSOLUTE_LOW,0.1853703015292732,0.15520633054146638,0.1853703015292732,565,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,afrl,AFRL stereo VI,bus_outside,afrl:bus_outside:0003,3,135.0,180.0,low,ABSOLUTE_LOW,0.2413240614720405,0.15520633054146638,0.1853703015292732,565,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,afrl,AFRL stereo VI,cemetery,afrl:cemetery:0001,1,45.0,90.0,low,RELATIVE_Q80_FALLBACK,0.14935531305287822,0.13168488560260838,0.14704017871907543,801,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,afrl,AFRL stereo VI,cemetery,afrl:cemetery:0008,8,360.0,405.0,low,RELATIVE_Q80_FALLBACK,0.16500322175964638,0.13168488560260838,0.14704017871907543,710,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,aqualoc_archaeology,AQUALOC archaeology,A01,aqualoc_archaeology:A01:0003,3,135.0,180.0,low,RELATIVE_Q80_FALLBACK,0.16532941149443642,0.13176185427970055,0.16186149824568302,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,aqualoc_archaeology,AQUALOC archaeology,A01,aqualoc_archaeology:A01:0018,18,810.0,855.0,low,RELATIVE_Q80_FALLBACK,0.16758689123190262,0.13176185427970055,0.16186149824568302,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,aqualoc_archaeology,AQUALOC archaeology,A02,aqualoc_archaeology:A02:0005,5,225.0,270.0,low,RELATIVE_Q80_FALLBACK,0.14448408239114113,0.1297012854892036,0.1392678213216608,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,aqualoc_archaeology,AQUALOC archaeology,A09,aqualoc_archaeology:A09:0003,3,135.0,180.0,low,RELATIVE_Q80_FALLBACK,0.1545111539838148,0.1504543864860304,0.1534969621093687,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,ntnu,NTNU underwater VI,fjord_6,ntnu:fjord_6:0003,3,135.0,180.0,low,ABSOLUTE_LOW,0.2589118025475741,0.1721381641395509,0.2382369250307931,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,ntnu,NTNU underwater VI,fjord_6,ntnu:fjord_6:0011,11,495.0,540.0,low,ABSOLUTE_LOW,0.27201634465599395,0.1721381641395509,0.2382369250307931,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
isj-window-selection-v3-quota-repair,isj-p06-global-quota-v2-outcome-blind-repair,aqualoc_archaeology,AQUALOC archaeology,A04,aqualoc_archaeology:A04:0002,2,90.0,135.0,normal,STRICT_NORMAL,0.08522670733272486,0.08527651483274887,0.09995495455356601,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_KLT_ONLY_REPAIR,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY
