protocol_version,quota_protocol,dataset_family,data_domain,sequence,window_id,window_index,window_start_s,window_end_s,texture_stratum,selection_tier,score,sequence_q20,sequence_q80,input_frame_count,split_role,outcome_boundary,reference_grid_count,reference_supported_grid_count,reference_full_coverage
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,afrl,AFRL stereo VI,bus_outside,afrl:bus_outside:0001,1,45.0,90.0,low,ABSOLUTE_LOW,0.1853703015292732,0.15520633054146638,0.1853703015292732,565,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,226,226,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A01,aqualoc_archaeology:A01:0003,3,135.0,180.0,low,RELATIVE_Q80_FALLBACK,0.16532941149443642,0.13176185427970055,0.16186149824568302,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A01,aqualoc_archaeology:A01:0018,18,810.0,855.0,low,RELATIVE_Q80_FALLBACK,0.16758689123190262,0.13176185427970055,0.16186149824568302,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A02,aqualoc_archaeology:A02:0005,5,225.0,270.0,low,RELATIVE_Q80_FALLBACK,0.14448408239114113,0.1297012854892036,0.1392678213216608,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A03,aqualoc_archaeology:A03:0001,1,45.0,90.0,low,RELATIVE_Q80_FALLBACK,0.13789911641351624,0.13517396227779338,0.13721782787958553,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A07,aqualoc_archaeology:A07:0002,2,90.0,135.0,low,RELATIVE_Q80_FALLBACK,0.14270136165614727,0.08589917887343257,0.12185257703783135,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A10,aqualoc_archaeology:A10:0013,13,585.0,630.0,low,RELATIVE_Q80_FALLBACK,0.13144212919998421,0.09098834811072157,0.12292667444462475,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_harbor,AQUALOC harbor,H02,aqualoc_harbor:H02:0007,7,315.0,360.0,low,RELATIVE_Q80_FALLBACK,0.11856476645602171,0.03555660016405611,0.09393892657598374,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,91,91,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,ntnu,NTNU underwater VI,fjord_6,ntnu:fjord_6:0002,2,90.0,135.0,low,ABSOLUTE_LOW,0.24110685081064592,0.1721381641395509,0.2382369250307931,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,451,451,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,ntnu,NTNU underwater VI,fjord_6,ntnu:fjord_6:0003,3,135.0,180.0,low,ABSOLUTE_LOW,0.2589118025475741,0.1721381641395509,0.2382369250307931,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,451,451,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A04,aqualoc_archaeology:A04:0002,2,90.0,135.0,normal,STRICT_NORMAL,0.08522670733272486,0.08527651483274887,0.09995495455356601,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A07,aqualoc_archaeology:A07:0001,1,45.0,90.0,normal,STRICT_NORMAL,0.08277903138214932,0.08589917887343257,0.12185257703783135,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A08,aqualoc_archaeology:A08:0002,2,90.0,135.0,normal,STRICT_NORMAL,0.06297353923441892,0.06536438917109597,0.0725369389811271,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_archaeology,AQUALOC archaeology,A10,aqualoc_archaeology:A10:0007,7,315.0,360.0,normal,STRICT_NORMAL,0.09098834811072157,0.09098834811072157,0.12292667444462475,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,46,46,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_harbor,AQUALOC harbor,H01,aqualoc_harbor:H01:0000,0,0.0,45.0,normal,STRICT_NORMAL,0.055595308082379044,0.055595308082379044,0.055595308082379044,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,91,91,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_harbor,AQUALOC harbor,H03,aqualoc_harbor:H03:0001,1,45.0,90.0,normal,STRICT_NORMAL,0.02906909548537843,0.030200237979766252,0.03390604026546363,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,91,91,1.0
isj-window-selection-v4-full-reference,isj-p06-global-quota-v3-full-reference,aqualoc_harbor,AQUALOC harbor,H04,aqualoc_harbor:H04:0003,3,135.0,180.0,normal,STRICT_NORMAL,0.0761847901720118,0.0761847901720118,0.0761847901720118,900,SEQUENCE_HELD_OUT_CONFIRMATORY_AFTER_OUTCOME_BLIND_REPAIRS,SELECTED_WITH_KLT_AND_IMAGE_QUALITY_ONLY,91,91,1.0
