timestamp,reference_valid,full_valid,drop_valid,klt_valid,common_valid,segment_id
1542888916.0436223,1,0,0,0,0,-1
1542888917.0436223,1,0,0,0,0,-1
1542888918.0436223,1,0,0,0,0,-1
1542888919.0436223,1,0,0,0,0,-1
1542888920.0436223,1,0,0,0,0,-1
1542888921.0436223,1,1,1,1,1,0
1542888922.0436223,1,1,1,1,1,0
1542888923.0436223,1,1,1,1,1,0
1542888924.0436223,1,1,1,1,1,0
1542888925.0436223,1,1,1,1,1,0
1542888926.0436223,1,1,1,1,1,0
1542888927.0436223,1,1,1,1,1,0
1542888928.0436223,1,1,1,1,1,0
1542888929.0436223,1,1,1,1,1,0
1542888930.0436223,1,1,1,1,1,0
1542888931.0436223,1,1,1,1,1,0
1542888932.0436223,1,1,1,1,1,0
1542888933.0436223,1,1,1,1,1,0
1542888934.0436223,1,1,1,1,1,0
1542888935.0436223,1,1,1,1,1,0
