case,arm,evo_path,primary_ape_rmse_m,evo_ape_rmse_m,ape_abs_diff_m,ape_tolerance_m,ape_pass,primary_rpe_rmse_m,evo_segmented_rpe_rmse_m,rpe_abs_diff_m,rpe_tolerance_m,rpe_pass,rpe_pair_count
A10_2400_2800,drop,papers/ieee_sensors_journal_experiments/g0/a10_2400_2800_probe/evo_crosscheck.json,0.9824678923335155,0.982468,1.0766648450566407e-07,1e-06,1,0.23882475765385272,0.238825,2.423461472889077e-07,1e-06,1,14
A10_2400_2800,full,papers/ieee_sensors_journal_experiments/g0/a10_2400_2800_probe/evo_crosscheck.json,0.6314723103767741,0.631472,3.1037677405976183e-07,1e-06,1,0.15885861127320958,0.158859,3.887267904234548e-07,1e-06,1,14
A10_2400_2800,klt,papers/ieee_sensors_journal_experiments/g0/a10_2400_2800_probe/evo_crosscheck.json,0.9824678923335155,0.982468,1.0766648450566407e-07,1e-06,1,0.23882475765385272,0.238825,2.423461472889077e-07,1e-06,1,14
A09_4000_4400,drop,papers/ieee_sensors_journal_experiments/g0/a09_4000_4400_probe/evo_crosscheck.json,0.9523886878709752,0.952389,3.12129024848673e-07,1e-06,1,0.23505092035790565,0.23505100000000004,7.964209439159653e-08,1e-06,1,14
A09_4000_4400,full,papers/ieee_sensors_journal_experiments/g0/a09_4000_4400_probe/evo_crosscheck.json,0.8050165926155496,0.805017,4.073844503960089e-07,1e-06,1,0.19967587079127017,0.199676,1.2920872982657983e-07,1e-06,1,14
A09_4000_4400,klt,papers/ieee_sensors_journal_experiments/g0/a09_4000_4400_probe/evo_crosscheck.json,0.9525726998890606,0.952573,3.0011093943294043e-07,1e-06,1,0.23505910573441993,0.23505900000000002,1.0573441991401644e-07,1e-06,1,14
A06_2210_2460,full,papers/ieee_sensors_journal_experiments/g0/a06_2210_2460_probe/evo_crosscheck.json,0.031230288037313727,0.03123,2.8803731372609165e-07,1e-06,1,0.013637738645264385,0.013638,2.61354735615546e-07,1e-06,1,9
A06_2210_2460,klt,papers/ieee_sensors_journal_experiments/g0/a06_2210_2460_probe/evo_crosscheck.json,0.24267866035440566,0.242679,3.3964559434385144e-07,1e-06,1,0.08734398822005096,0.087344,1.1779949043999594e-08,1e-06,1,9
NTNU_FJORD4_S0_D30,full,papers/ieee_sensors_journal_experiments/g0/ntnu_fjord4_s0_d30_probe/evo_crosscheck.json,346.59736715865677,346.597367,1.586567464073596e-07,0.00034659736715865675,1,62.26017466891584,62.260175,3.310841591996905e-07,6.226017466891584e-05,1,235
NTNU_FJORD4_S0_D30,klt,papers/ieee_sensors_journal_experiments/g0/ntnu_fjord4_s0_d30_probe/evo_crosscheck.json,328.9113008025482,328.911301,1.974517545022536e-07,0.0003289113008025482,1,57.242990286436545,57.24299,2.864365455934603e-07,5.7242990286436544e-05,1,235
NTNU_FJORD4_S0_D30,protected,papers/ieee_sensors_journal_experiments/g0/ntnu_fjord4_s0_d30_probe/evo_crosscheck.json,411.5649499722859,411.56495,2.771412255242467e-08,0.00041156494997228584,1,120.19348777871382,120.193488,2.212861858197357e-07,0.00012019348777871382,1,235
H07_0_1000,full,papers/ieee_sensors_journal_experiments/g0/h07_0_1000_probe/evo_crosscheck.json,1.3739858734219819,1.373986,1.2657801806703617e-07,1.3739858734219819e-06,1,0.20906562725700184,0.20906552864884786,9.860815397555456e-08,1e-06,1,90
H07_0_1000,klt,papers/ieee_sensors_journal_experiments/g0/h07_0_1000_probe/evo_crosscheck.json,1.2557841400766847,1.255784,1.4007668469595558e-07,1.2557841400766846e-06,1,0.2016312654774603,0.20163139355324167,1.2807578136930786e-07,1e-06,1,90
