dataset,window,prefix_duration_s,quality_contract,arm,scientific_unit,technical_replays,rpe_median_m,rpe_min_m,rpe_max_m,matched_poses,common_span_s,common_coverage,rpe_pairs,ape_valid,rpe_valid,source_artifact
NTNU,fjord1_s83,10,nativeq_vins_safe,learned,NTNU_fjord1_s83_d30_event,3,0.05682239526499772,0.056822295433427525,0.05682240525512374,70,6.900000095367432,0.693069306930693,60,False,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d10_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,10,nativeq_vins_safe,gftt,NTNU_fjord1_s83_d30_event,3,0.17267426361144483,0.17267426361144483,0.17267426361144483,70,6.900000095367432,0.693069306930693,60,False,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d10_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,10,nativeq_vins_safe,drop,NTNU_fjord1_s83_d30_event,3,0.8241967168518378,0.8241967168518378,0.891015369038693,70,6.900000095367432,0.693069306930693,60,False,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d10_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,10,nativeq_vins_safe,klt,NTNU_fjord1_s83_d30_event,3,0.12600440430089369,0.12600440430089369,0.12600440430089369,70,6.900000095367432,0.693069306930693,60,False,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d10_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,20,nativeq_vins_safe,learned,NTNU_fjord1_s83_d30_event,3,0.03857787888783236,0.03857780907227434,0.038577891382141676,170,16.90000009536743,0.845771144278607,160,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d20_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,20,nativeq_vins_safe,gftt,NTNU_fjord1_s83_d30_event,3,0.10847203352572332,0.10847203352572332,0.10847203352572332,170,16.90000009536743,0.845771144278607,160,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d20_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,20,nativeq_vins_safe,drop,NTNU_fjord1_s83_d30_event,3,3.333554706982197,3.333554706982197,4.99771072611822,170,16.90000009536743,0.845771144278607,160,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d20_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,20,nativeq_vins_safe,klt,NTNU_fjord1_s83_d30_event,3,0.0799297703028892,0.0799297703028892,0.0799297703028892,170,16.90000009536743,0.845771144278607,160,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d20_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,30,nativeq_vins_safe,learned,NTNU_fjord1_s83_d30_event,3,0.03813532193628043,0.0381353179516041,0.0381353302751758,269,26.800000190734863,0.893687707641196,259,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,30,nativeq_vins_safe,gftt,NTNU_fjord1_s83_d30_event,3,0.09158222064347205,0.09158222064347205,0.09158222196479138,269,26.800000190734863,0.893687707641196,259,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,30,nativeq_vins_safe,drop,NTNU_fjord1_s83_d30_event,3,5.113237771380674,5.113237771380674,12.101863279076104,269,26.800000190734863,0.893687707641196,259,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_four_arm/common_support_summary.json
NTNU,fjord1_s83,30,nativeq_vins_safe,klt,NTNU_fjord1_s83_d30_event,3,0.06572772266469162,0.06572772266469162,0.06572772266469162,269,26.800000190734863,0.893687707641196,259,True,True,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_four_arm/common_support_summary.json
