dataset,window,profile,quality_contract,arm,replay,scientific_unit,technical_repeat,g0_ape_rmse_m,g0_rpe_rmse_m,g0_matched_poses,g0_rpe_pairs,legacy_ape_rmse_m,legacy_rpe_rmse_m,output_coverage,first_output_delay_s,init_success,solver_failures,failure_mentions,g0_ape_valid,g0_rpe_valid,trajectory_sha256,source_artifact,g0_source_artifact
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,drop,1,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,269,259,0.165181,0.077327,0.950623,1.390228,1,0,0,True,True,6bce053a09469959bf98b3c0327186ea97f92b7ce90e3406b3bf6a4c19a1df27,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_drop_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,drop,2,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,269,259,0.165181,0.077327,0.950623,1.390228,1,0,0,True,True,6bce053a09469959bf98b3c0327186ea97f92b7ce90e3406b3bf6a4c19a1df27,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_drop_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,drop,3,NTNU_fjord1_s83_d30_event,True,0.12194410956808158,0.06275771561199799,269,259,0.165181,0.077327,0.950623,1.390228,1,0,0,True,True,6bce053a09469959bf98b3c0327186ea97f92b7ce90e3406b3bf6a4c19a1df27,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_drop_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,gftt,1,NTNU_fjord1_s83_d30_event,True,0.271213942201771,0.09697293636403702,269,259,0.273436,0.102296,0.897255,2.990209,1,0,0,True,True,a937bb820e6e88e977eb543576a438298ed2c82f8a6e806877e8daef78030a49,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_gftt_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,gftt,2,NTNU_fjord1_s83_d30_event,True,0.27122341992378884,0.09697568886995342,269,259,0.273446,0.102299,0.897255,2.990209,1,0,0,True,True,ef7ba894c7bbae35214adcbd9bc8d6b8e96847e16cd888da1094cbc525aad39a,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_gftt_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,gftt,3,NTNU_fjord1_s83_d30_event,True,0.27121852160429455,0.09697385476706741,269,259,0.273441,0.102297,0.897255,2.990209,1,0,0,True,True,bafb101f1ddcae4b58076c89472556adad22b64bf74b8503a9e4284a5d3e210d,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_gftt_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,klt,1,NTNU_fjord1_s83_d30_event,True,0.10847837343177948,0.03950213874233073,269,259,0.182113,0.085033,0.950623,1.390228,1,0,0,True,True,063b04af31c9712c028d1260779501fddb598b37ddd4a06f0ebd3605fe6065a0,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_klt_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,klt,2,NTNU_fjord1_s83_d30_event,True,0.09249670997969062,0.03457568837833486,269,259,0.149577,0.077612,0.950623,1.390228,1,0,0,True,True,38379047bd6315b6493e810d68eedcf92d47c249166de65ea7dd02348cf1b1b4,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_klt_r2,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,klt,3,NTNU_fjord1_s83_d30_event,True,0.09433292966167672,0.035081351671012846,269,259,0.153764,0.07852,0.950623,1.390228,1,0,0,True,True,d2dd1807adbede4a9fd58e831a06c9dc4224a91add926e195edf56eb71082265,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_klt_every2_validation_20260804_ntnu_fjord1_s83_d30_klt_r3,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq,learned,1,NTNU_fjord1_s83_d30_event,True,55.855043610979706,10.599716384938587,269,259,55.147791,11.304653,0.950623,1.390228,1,0,0,True,True,86cf4eb0997b1d4e2bc2d766676ba154a7981bc340106a776686df63ff636ffe,/home/ma/AQUA-FE_WS/logs/ntnu_vins/external_hybrid_xfeat_every2_validation_20260804_ntnu_fjord1_s83_d30_learned_r1,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
