dataset,window,profile,evaluator,arm,replay,scientific_unit,technical_repeat,ape_rmse_m,rpe_rmse_m,coverage,init_success,solver_failures,rpe_pairs,ape_valid,rpe_valid,validity_reason,source_artifact
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,learned,1,A08_4500_4660_event,True,0.152349,0.113357,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_full_replay_r1/ape.txt
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,classical_preserve_id,1,A08_4500_4660_event,True,0.190622,0.135988,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_gftt_preserve_id_replay_r1/ape.txt
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,learned,2,A08_4500_4660_event,True,0.152367,0.113357,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_full_replay_r2/ape.txt
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,classical_preserve_id,2,A08_4500_4660_event,True,0.196983,0.140069,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_gftt_preserve_id_replay_r2/ape.txt
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,learned,3,A08_4500_4660_event,True,0.152289,0.113328,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_full_replay_r3/ape.txt
AQUALOC,A08_4500_4660,oldcontract_microburst,legacy_nearest_reference,classical_preserve_id,3,A08_4500_4660_event,True,0.190621,0.135987,0.837535,1,0,57,False,False,only 7 unique GT assignments; reference reuse,/mnt/data/AQUA-FE_WS/validation_20260803/a08_gftt_preserve_id_replay_r3/ape.txt
AQUALOC,A06_2210_2700,frozen_loftr_initialization,g0_common_support,classical_frame6,,A06_2210_2700_event,False,0.31382701891698933,0.06306499107718125,0.9166666666666666,,,21,False,True,common_poses=22;span_s=21.0;rpe_pairs=21,/mnt/data/AQUA-FE_WS/validation_20260803/a06_2700_common_support_matched/common_support_summary.json
AQUALOC,A06_2210_2700,frozen_loftr_initialization,g0_common_support,drop_frame29,,A06_2210_2700_event,False,0.08537167582117804,0.021522255288116184,0.9166666666666666,,,21,False,True,common_poses=22;span_s=21.0;rpe_pairs=21,/mnt/data/AQUA-FE_WS/validation_20260803/a06_2700_common_support_matched/common_support_summary.json
AQUALOC,A06_2210_2700,frozen_loftr_initialization,g0_common_support,klt,,A06_2210_2700_event,False,0.31313933472384586,0.06288799324530006,0.9166666666666666,,,21,False,True,common_poses=22;span_s=21.0;rpe_pairs=21,/mnt/data/AQUA-FE_WS/validation_20260803/a06_2700_common_support_matched/common_support_summary.json
AQUALOC,A06_2210_2700,frozen_loftr_initialization,g0_common_support,learned,,A06_2210_2700_event,False,0.08537238537114952,0.02152187371482738,0.9166666666666666,,,21,False,True,common_poses=22;span_s=21.0;rpe_pairs=21,/mnt/data/AQUA-FE_WS/validation_20260803/a06_2700_common_support_matched/common_support_summary.json
