frame_index,frame_name,num_features,added_features,dropped_features,dropout_ratio,tracked_before_filter,tracked_after_filter,grid_coverage,grid_occupied,grid_total,median_track_age,mean_track_age,long_track_ratio,median_fb_error,median_ncc,median_quality,mean_quality,median_visual_sigma,mean_visual_sigma,low_texture_feature_ratio,low_texture_track_age_median,low_texture_quality_median,mean_intensity,contrast,gradient_mean,laplacian_var,underexposed_ratio,overexposed_ratio,illumination_nonuniformity,local_contrast,flat_region_ratio,texture_score,blur_score,exposure_score,contrast_score,illumination_score,backscatter_score,highlight_shadow_score,grid_texture_score,underwater_score,degradation_score,image_quality,fundamental_inlier_ratio,homography_inlier_ratio,median_epipolar_error,median_homography_error,planar_score,tracker_mode,tracker_recovery_reason,tracker_recovered_count,track_health_score,track_health_reason,frontend_state_score,frontend_state_reason,semidense_acceptance,geometry_safe_acceptance,learned_mode_before_sparse_homography,learned_mode_after_sparse_homography,base_learned_mode_before_sparse_override,learned_mode_after_sparse_override,learned_mode_sparse_homography_allowed,learned_mode_sparse_homography_reason,last_loftr_sparse_homography_check_allowed,last_loftr_sparse_homography_check_reason,loftr_sparse_homography_allowed,loftr_sparse_homography_reason,semidense_raw_candidates,semidense_post_validate_candidates,semidense_accepted_candidates,semidense_queued_pending,semidense_grid_gain,semidense_new_cell_ratio,semidense_before_f_inlier,semidense_after_f_inlier,semidense_before_h_inlier,semidense_after_h_inlier,semidense_before_epipolar,semidense_after_epipolar,semidense_before_homography,semidense_after_homography,pending_loftr_count,pending_loftr_age_median,loftr_confirmed_promoted,klt_degeneracy_loftr_allowed,klt_degeneracy_loftr_reason,klt_degeneracy_loftr_score,scheduler_mode,scheduler_reason,geometry_mode,geometry_reason,planar_confidence,adaptive_geometry_model,klt_tracks,gftt_tracks,orb_tracks,orb_match_tracks,orb_recovery_tracks,lk_recovery_tracks,homography_recovery_tracks,xfeat_tracks,xfeat_recovery_tracks,xfeat_init_tracks,xfeat_confirmed_tracks,xfeat_star_tracks,xfeat_star_recovery_tracks,xfeat_star_init_tracks,xfeat_star_confirmed_tracks,superpoint_lightglue_tracks,superpoint_lightglue_recovery_tracks,superpoint_lightglue_init_tracks,superpoint_lightglue_confirmed_tracks,learned_memory_tracks,loftr_tracks,loftr_recovery_tracks,loftr_init_tracks,loftr_confirmed_tracks,candidate_bank_count,candidate_bank_coverage,candidate_bank_grid_gain,stable_candidate_grid_coverage,runtime_ms
0,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000000.jpg,350,350,0,0.0,0,0,1.0,24,24,1.0,1.0,0.0,0.0,1.0,0.9558385610580444,0.9558386206626892,1.0223054885864258,1.0223056077957153,0.0,nan,nan,130.2323760986328,47.592742919921875,93.3680648803711,5473.603515625,0.0,0.00017233455882352942,0.1297966182933134,0.2850032448768616,0.0,1.0,1.0,0.9995691636029411,1.0,0.6884881160960479,1.0,0.99169921875,1.0,0.9558385890107994,0.04416141098920057,0.9558385890107994,0.0,0.0,nan,nan,0.0,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.0,n/a,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,173.2012638822198
1,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000001.jpg,350,87,87,0.24857142857142858,350,263,1.0,24,24,2.0,1.7514286041259766,0.0,0.005094604566693306,0.9764080047607422,0.4966655671596527,0.5776075124740601,1.4175266027450562,1.3935762643814087,0.0,nan,nan,130.2366485595703,47.57048797607422,93.52992248535156,5439.4287109375,6.382761437908497e-06,0.00010850694444444444,0.13013618618834258,0.2848464250564575,0.0,1.0,1.0,0.9997127757352942,1.0,0.6876731531479778,1.0,0.9928366268382353,1.0,0.9558099721392463,0.044190027860753656,0.9558099721392463,0.9809885931558935,0.9923954372623575,0.18870175225165356,0.11505923160202937,1.0116268757446965,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6453976307359188,n/a,263,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,188.69086727499962
2,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000002.jpg,350,66,66,0.18857142857142858,350,284,1.0,24,24,3.0,2.5514285564422607,0.0,0.005276591517031193,0.9624260067939758,0.49980154633522034,0.5444051623344421,1.4130816459655762,1.433293104171753,0.0,nan,nan,130.22103881835938,47.5704460144043,93.49549102783203,5473.72607421875,6.382761437908497e-06,0.00013084660947712418,0.13002511417164525,0.2840754985809326,0.0,1.0,1.0,0.9996569265727124,1.0,0.6879397259880514,1.0,0.9919577205882353,1.0,0.9557878560623467,0.04421214393765327,0.9557878560623467,0.9647887323943662,0.9859154929577465,0.16808752076493338,0.14648727135447714,1.0218967510267252,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.644140509145821,n/a,284,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,174.98091189190745
3,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000003.jpg,350,52,52,0.14857142857142858,350,298,1.0,24,24,4.0,3.3714284896850586,0.0,0.0065134321339428425,0.9612383842468262,0.5177468061447144,0.5392096638679504,1.3884246349334717,1.4302589893341064,0.0,nan,nan,130.22348022460938,47.603904724121094,93.51045227050781,5537.140625,6.382761437908497e-06,0.00016914317810457516,0.1299263927983302,0.2852940261363983,0.0,1.0,1.0,0.9995611851511438,1.0,0.6881766572840076,1.0,0.9922966452205882,1.0,0.9558298729511334,0.04417012704886658,0.9558298729511334,0.9731543624161074,0.9899328859060402,0.0857783380292918,0.1352488103455829,1.0172403340082083,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6445900475861768,n/a,298,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,187.9036440514028
4,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000004.jpg,350,49,49,0.14,350,301,0.9583333333333334,23,24,5.0,4.154285907745361,0.7085714285714285,0.006161020137369633,0.9458180665969849,0.5221289396286011,0.5411356091499329,1.3825970888137817,1.4200153350830078,0.0,nan,nan,130.21426391601562,47.57293701171875,93.58634185791016,5537.978515625,0.0,0.00016595179738562092,0.12966538672353703,0.28456389904022217,0.0,1.0,1.0,0.9995851205065359,1.0,0.6888030718635112,1.0,0.9918543198529411,1.0,0.9558939037128524,0.04410609628714757,0.9558939037128524,0.9767441860465116,0.9867109634551495,0.16630314322362189,0.1367648449912927,1.0102030473771522,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6445294062003484,n/a,301,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,194.35846619307995
5,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000005.jpg,350,40,40,0.11428571428571428,350,310,1.0,24,24,6.0,4.965714454650879,0.7485714285714286,0.007632764056324959,0.9581835269927979,0.556485652923584,0.5524024963378906,1.3393163681030273,1.4079291820526123,0.0,nan,nan,130.21746826171875,47.59001541137695,93.55946350097656,5445.68017578125,6.382761437908497e-06,0.00012765522875816994,0.13022298177083333,0.28527742624282837,0.0,1.0,1.0,0.9996649050245098,1.0,0.6874648437499999,1.0,0.9920094209558824,1.0,0.9557254319852939,0.044274568014706084,0.9557254319852939,0.9903225806451613,0.9935483870967742,0.1543465051708699,0.1323329686387691,1.0032563159301044,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6447066812544493,n/a,310,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,185.74177101254463
6,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000006.jpg,350,43,43,0.12285714285714286,350,307,1.0,24,24,7.0,5.762856960296631,0.7857142857142857,0.005984321236610413,0.9699582457542419,0.5969443917274475,0.5894370675086975,1.2932116985321045,1.3487504720687866,0.0,nan,nan,130.2382049560547,47.63048553466797,93.67245483398438,5465.60693359375,0.0,0.00017233455882352942,0.1300652776979933,0.28508615493774414,0.0,1.0,1.0,0.9995691636029411,1.0,0.6878433335248161,1.0,0.9917796415441177,1.0,0.9557531448184742,0.044246855181525824,0.9557531448184742,0.9771986970684039,0.9674267100977199,0.1195464110220187,0.12075461870340687,0.9899989869010367,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6451698152518638,n/a,307,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,180.7641531340778
7,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000007.jpg,350,39,39,0.11142857142857143,350,311,0.9583333333333334,23,24,8.0,6.6028571128845215,0.8114285714285714,0.00598398270085454,0.9642494320869446,0.6066015958786011,0.594160795211792,1.2828938961029053,1.3425469398498535,0.0,nan,nan,130.23941040039062,47.59990692138672,93.59288787841797,5451.54931640625,0.0,0.00013403799019607844,0.13029833625344672,0.28460970520973206,0.0,1.0,1.0,0.9996649050245098,1.0,0.6872839929917278,1.0,0.9923023897058824,1.0,0.9557176910041361,0.04428230899586394,0.9557176910041361,0.9742765273311897,0.9903536977491961,0.12240493253217806,0.11728471604772535,1.0165006068261098,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.645308611358091,n/a,311,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,179.92529971525073
8,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000008.jpg,350,41,41,0.11714285714285715,350,309,0.9583333333333334,23,24,9.0,7.351428508758545,0.8171428571428572,0.006420486606657505,0.9696546196937561,0.6286302804946899,0.6160773634910583,1.260251760482788,1.31401526927948,0.0,nan,nan,130.25238037109375,47.60293197631836,93.6167221069336,5452.39501953125,3.1913807189542485e-06,0.00017552593954248366,0.12989572562423402,0.2847517728805542,0.0,1.0,1.0,0.9995532066993464,1.0,0.6882502585018384,1.0,0.9922564338235295,1.0,0.9558368070235908,0.04416319297640925,0.9558368070235908,0.9935275080906149,1.0,0.08021869351966196,0.13535488866533985,1.006513644909719,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6445858044533864,n/a,309,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,180.50352903082967
9,/home/ma/AQUA-FE_WS/datasets/prepared_new/tank_short_left/frame_000009.jpg,350,34,34,0.09714285714285714,350,316,0.9583333333333334,23,24,10.0,8.217143058776855,0.8285714285714286,0.006630119867622852,0.9579957723617554,0.6378023624420166,0.6176199913024902,1.2511712312698364,1.3124028444290161,0.0,nan,nan,130.23233032226562,47.65296173095703,93.53858184814453,5456.33349609375,0.0,9.25500408496732e-05,0.13005272061217066,0.2854948043823242,0.0,1.0,1.0,0.9997686248978758,1.0,0.6878734705307905,1.0,0.9922047334558823,1.0,0.9558068048694086,0.04419319513059139,0.9558068048694086,0.9715189873417721,0.9968354430379747,0.3258092007922161,0.12719303362654455,1.0260575757843846,klt,n/a,0,nan,n/a,nan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,False,n/a,False,n/a,False,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,False,n/a,0.0,klt,healthy,normal,healthy,0.6449122786549383,n/a,316,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,183.64233803004026
