event_index,frame_index,timestamp_s,master_pool_hash,candidate_pool_hash,classical_pool_hash,selector_config_hash,selector_model_hash,model_fit_hash,model_fit_seed,n_eligible,n_active_before,n_t_qg,overlap_h_qg,overlap_r_qg,overlap_q_qg,overlap_g_qg,h_topn,r_topn,q_topn,g_topn,qg_topn,h_order,r_order,q_order,g_order,qg_order,selection_calibration_ms,selection_kernel_ms,selection_combined_ms,selection_active,frame_chain_hash_r,frame_chain_hash_h,frame_chain_hash_q,frame_chain_hash_g,frame_chain_hash_qg,exported_dose_qg,exported_observations_qg,matching_shortfall_r,matching_shortfall_h,matching_shortfall_q,matching_shortfall_g
0,400,20.0,72f541786d45e13506fdfa598f7b6784e17336c2194efba2022331d62f2ec077,72f541786d45e13506fdfa598f7b6784e17336c2194efba2022331d62f2ec077,79aecc3e56019c734e19833463dad60409b78c09e402c3e7c8b10179807a36ed,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,b9c7e8f82af7fb0f580ff91af057356d2057ea95f596367aaf41f44925c1b968,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.461013901978731,8.461013901978731,0,86e04f3c7d70cfc1afc75ef85744948fb215600c31696ffe12b3435fbb459044,c64f76c24cbeb3e230cb0543651bf22bff4be255b07ca9c8320f52c2b5e1cbbc,7da0afd1cb4984531fa44c24f5878bb6fc5c68377031fed6ba1b062387f90b5b,f04fc016c9a8dcf1230b6856241e3a5cee941b75be0fca6956e2412b23d9523e,691634c8ed6201c38b0e3490182612734140cb341ef9f708756a5225533a0296,342,342,0,0,0,0
1,401,20.05,f213288c932286881f35d026753b6aa4aaec2f8aae43a6305cfd44e3f2f56335,f213288c932286881f35d026753b6aa4aaec2f8aae43a6305cfd44e3f2f56335,195cdb3d62648321c61a28aff232e81d53a33573908d1c3c3f143d4071a9a621,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,e98076247ef39d9f64124b6257f14d778b0a59bbe11b5dc95e128ef89dae54ce,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.144854102283716,8.144854102283716,0,de2b3842f0e701c469bfa212de251210b805c1aea07511c2f180676a1bb1077b,8b295afd995aa01b563bdf4ee564f55450d27373e7887a71f45d1ccd9af0eb75,c10e41fe7e4fd5cd4919776e7ed582d211af055630b3ed337e9f54f70620698b,b2bade7ca093158ed0a057a7a1ad080b6e2a87d8a9cf2cc0dabf0deb7ea895cd,1b6bf285aea3f4dad7ca3cf578e174a12c3d63eaeb97956ee90d9889d79e2499,342,342,0,0,0,0
2,402,20.1,d2f0ec6c9ff25f73f3f2fcbeea92f2492204d49911399417f1e98211ca259ece,d2f0ec6c9ff25f73f3f2fcbeea92f2492204d49911399417f1e98211ca259ece,2ff3c1f3622a5340b372866c95523888416a37b103db9e7024ca076d644adddc,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,7f281528e9c61c0d317a8b18e5f9152b23a6679b8ed8264d80776e67128972ed,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.204296231269836,8.204296231269836,0,ac482f7a51fce29b61dc8c0733130cf9815f2d0e4b61dcf5170128be5177f1c6,288cc5fe4bf183750ca16e6b178d7aa21c57800160e249209e74a6fbd96d3c53,3f924da6efd4bcd00f9d3c698683ae0e6737ba63127e9c255d12477f14bec862,ca126f91638cdb75ac2160de2db557650c505ae9d600ebb1d7a3ee587a826e82,507f9350d794a8de8fbf3525b51f4394b976a4d17fe250be680591e282d1b9f3,342,342,0,0,0,0
3,403,20.15,6fbb7f4b7d204d7f461ef63c254cd337d3ac59d2066177d3ecd223b1887a55e0,6fbb7f4b7d204d7f461ef63c254cd337d3ac59d2066177d3ecd223b1887a55e0,8a07ba286cca8196faec33cbd0e177c9d99e7380807f6980ea73d26aa2e8002b,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,1bd3458faf4c40189c947c3f47b8bbdf07391491633c720975baeb4d4d98fb9d,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.623719681054354,8.623719681054354,0,c3159d02a687f9ca0dbca38cc94729d57df04e6a726662f2b0f0b8ba52e7b95b,7c82527b6d274ad17eeafe2f326de729d6d28b68b960695340d8ba00257f1f88,e4bbb208057676b2b9a15c502826fab28f76bd2bef197dde650a141184d2a3e7,4634c765f5bf53344466fb57c954dc7ff898f215991846e8dffc8ad8f430f4cc,3624c26757e2837891543ed039fe21cc861e6caf88f0b0b40a40c446b90b7085,342,342,0,0,0,0
4,404,20.2,6cda30f5bb6813b8b13dda378398bb5cbd36bc39b4262db29a4e3a6d009d1475,6cda30f5bb6813b8b13dda378398bb5cbd36bc39b4262db29a4e3a6d009d1475,b24ff17158caf8113a4a65d4124de9a0ab9b5eb1b9e7bdf050c94d0a28645f90,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,7cb61531b5c48ab7d8564d3a4a601b5f8c952af3561a655802b3ad48564acacd,20260730,0,0,0,,,,,,,,,,,,,,,0.0,11.000626720488071,11.000626720488071,0,24bdd53a5271457e3775541b3fec199ce9815eda1a131ed76b9c572f6569f6d9,fc6bd4db22ab2c0f4937424c3c8fcbaee694f41cbb64bca0190eead4dfe94ade,06948db425467ff967aecf4eccb52a86d4174acc8938f2e4cec5c44f3ac356ef,3677738c285ada40e68a896feeb912e9d45846026d026ee7957853405b38065b,00b5da0c64ebeb0d94daf5ff2085d2f3383fc8e156dcc1e7771cfd8b613a29c8,342,342,0,0,0,0
5,405,20.25,cdd8a018fe4859569f737fad7be847b1e7f4d086c15ece5ecc80f9f4388f2dcc,cdd8a018fe4859569f737fad7be847b1e7f4d086c15ece5ecc80f9f4388f2dcc,d734213774b37aafc5ed820a5400f8bd7a736a2f182523ccf65fc8c672417b01,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,105759d4f13816b3178e0b42e9f9e4199531dea6247a6b095f6ebec58e00df52,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.769571617245674,7.769571617245674,0,d0323c4109877bf419cdab613dd15ac65aef14ee2f7762c207bd83b0c2c458bb,f3705a5bd85778a8af41e90594d3ff757f108db558cfd9aca632a4ac87adc264,32bc073cf4f006b17453de118a520a79eef5dfdae84e1de013ac334a9734dbb7,c1f04c644180531f8ac35682295d2b63938437eaff000393f1c437a1c8087af1,c3580f93c183e3c35b3a5262408ed597c30821c25a5aa4e0f7d2944a7b8f91fc,342,342,0,0,0,0
6,406,20.3,a8e026391239af883334ba37b670cfe6cdc016dadd69223c207781071db3d9a3,a8e026391239af883334ba37b670cfe6cdc016dadd69223c207781071db3d9a3,24ba41341bb76a808e720cb8039edc4675e7bb96e3d6503b1b32951ef2859d97,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,e8cefc9944b2a3e95ebf41676263ce0c009b7acedccb684d3cffd9131efa6def,20260730,0,0,0,,,,,,,,,,,,,,,0.0,8.224906865507364,8.224906865507364,0,da2f83a01009231a10f5b037c146d2ffc57e3563e7d62919ed0d927090b2fcdb,b8c8612be378cd827f9d49d95e8f2189c1e7e0dcf5b9c002ee693c22e3776843,3d15d94e7034de18d4f9657de76242f9acf13dafb7702ee6a6cc260a2dfd5929,350b0aed5f5766fca0e8efdaa9bffa9edbc2c10b2f97c7ab8d86c61acae399b7,7a792f44917ccec84609e310e77cbdcc88c6ea7b9d1536e0aaa6ef8ba32899f6,342,342,0,0,0,0
7,407,20.35,4c4ed7c6d68aa44b5bc873dcc6241f8f1841609f7abb1ecb72c172b7e15d19a9,4c4ed7c6d68aa44b5bc873dcc6241f8f1841609f7abb1ecb72c172b7e15d19a9,2e5e60b1bdc430fbb3ae2d24db3851c1b63a70f8ee3fe5c7a1c89aa7c3ede2ea,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,63fbeb0d1eea19e8a8a5494806b2a70603dd0899ebf8163a9d8b3db725430b66,20260730,0,0,0,,,,,,,,,,,,,,,0.0,10.057526174932718,10.057526174932718,0,020e170e15a0659ecf37c0d20d0725a7bcff4153adafb5c7cd84d3210aeb9389,78500e5f5691358b4a37c35313498cf5de5a9e4cb9e09cdf450bf391fd6b075e,b5576b66e9a0671e3f6fe01cb3970733548feeffcf2aa93a0e4ed7d9cc38f0d4,adf4397173778b38402e930617eae97c324bcfdf7c74dab22647c61d5baca4c2,e2ef9ef2a23e1fa468303156dc7b7ec96d822b88936c0e04a3e6f80cfa71dc1c,342,342,0,0,0,0
8,408,20.4,673fe30bf530b56159b612bbee6df63d0034e24f64f8f14affca09cead80eb6e,673fe30bf530b56159b612bbee6df63d0034e24f64f8f14affca09cead80eb6e,5e3de7216a4f1960ed49f72b21a057d5917ea48451b3c42fa33e0ffb5277121f,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,569ac1d78e5e1ce1329a2c6f48360d5f0e2c87fef3b1f9f0da2ff70b269dade7,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.772752083837986,7.772752083837986,0,366f6adaaeb0e1aacd89959572bb649cb5a0a5a7e08f919da7faa3891e13ba17,23cf2aecb6b1924cddb07a19ddf5e507ba9fd413766d6d14cba8f3f529fa930f,e337728b300276c56858d1fd683f4ce0eda7b4ff872e8c399f2415a5374eb26e,6b37a7c12b9e7583c5d30ac58dc79d7d4edece4d1d03be0494aec937cfa6d2c1,652ef88409897a9dd4e32a8cacf953b586303fcf17589af2d31502752761dfce,342,342,0,0,0,0
9,409,20.45,788e2fc01bd13e0d1d92f6e4e8e1e4a99e67ebcf0f92248e2dd7aa3ab476485d,788e2fc01bd13e0d1d92f6e4e8e1e4a99e67ebcf0f92248e2dd7aa3ab476485d,786b348935bb135e4c3c1a09f1d381505c9b72fc0d5f59bd1f631dea7e145ff6,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,df2c7d7ba02a21bffc14fd6ddf8399fcf4ed5b05d7c8e3b3a35a41ebe1df4e1f,a89372ddddd2a3b80b7ce38dab2264a84b5bad421fea1bf47d413faa9cf01887,20260730,0,0,0,,,,,,,,,,,,,,,0.0,7.961268071085215,7.961268071085215,0,3116f1c43a6dbe8140ac1966bfc2e50371d7995e3c66c56ce1386c6107fd13a0,1bdea363fd5c3524e0ddbd8d5e4afd3bde65d1edcec27ff4c71e4e11a7e3f2a3,2e07b177e7f866df221933ba84169fd774b1a3824d2b6d6eaed1608cc1f93690,e0838b3707e402851596b3ab697682eb13c3450895499c8a966ddc1e86825e8c,b32278b3367171310f7c927db05ef1ea87f455b8532c4fab1135566e726dc502,342,342,0,0,0,0
