frame_index,timestamp_s,trigger,trigger_reason,k0_count,k0_grid_coverage,k0_median_fb,degradation_score,valid_models,learned_eligible,classical_eligible,learned_added,classical_added,learned_alive,classical_alive,master_pool_hash,classical_pool_hash
0,0.0,0,NO_TRIGGER,350,0.75,0.0,0.43239505868628125,F;H,0,0,0,0,0,0,24ec9e3955da5f0c3da8054244ca4369b5a86c8ef36283140cf0e75eef36288a,82de526f10986130cba243c4cb63d39d646d6c4f23f6f6eadb4552c6d689743f
1,0.05,0,NO_TRIGGER,350,0.75,0.003210783936083317,0.4307713043081284,F;H,0,0,0,0,0,0,669819335619825f58ae5e60c3c3ce5373c0b4ab88c4379f260f820c47d6ec65,020e42364df495126ad9747770bd1a359472dda18d602e699bfa525b23c9ab91
2,0.1,0,NO_TRIGGER,350,0.75,0.0027234263252466917,0.42899031897704076,F;H,0,0,0,0,0,0,60f77f86cb796eea473b2a62d949be833ca8de671117bf3fd5ed657b0986a4ca,46118ede5f15ff7ee30384187b67145786eb0fe5d2def1f61042315eae658f5b
3,0.15,0,NO_TRIGGER,350,0.75,0.0030085518956184387,0.4273391803506501,F;H,0,0,0,0,0,0,d1a53fbb644b3fd2caf94141e29a630f934b08910a5ccf65f8fb995a11717423,ec6d96caa2b290680cdc39b00bd2d6d424742dc6cc166c117dbc93f87cbbeece
4,0.2,0,NO_TRIGGER,350,0.7916666666666666,0.00275072967633605,0.4227992807491282,F;H,0,0,0,0,0,0,4bf9391cc548ab29148b7983e001c15c167f99a086a863ed4d2814010f048538,9aa1628641407d8f09a6bfa470800426808bf8240d389b04b3e1a1831a5adf49
5,0.25,0,NO_TRIGGER,350,0.7916666666666666,0.03238897770643234,0.3622798903599689,F;H,0,0,0,0,0,0,dd70be65c149372679dcc97fc0c2b581b70659dcca8dd238dd2cbd859afe6b5b,6dbd0f6f1a0de72aab2079edf2589a38fa4a41e93d74d9f6858d02eabbcc1aa1
6,0.3,0,NO_TRIGGER,350,0.7916666666666666,0.0026776432059705257,0.36015406151694906,F;H,0,0,0,0,0,0,2c128300a7b4b99b4af2fd0bec5b18a258572030778ddc5688d5b12f8936bdf2,c09ce98ff6ea28521ca094bb5a432e5b18dce693e571706b091daa3281b1d62e
7,0.35,0,NO_TRIGGER,350,0.75,0.002954681869596243,0.3576958747746942,F;H,0,0,0,0,0,0,a074fd3aae04200b4d9762e1a6bd1d2516e239ba283498d8a19cd6fa92b4c9be,3eb4d7e0cb8b2e85fd2b387f19abc6de65239522005682011e28a68a6523a871
8,0.4,1,KLT_HEALTH_TRIGGER,350,0.75,0.0025868944358080626,0.3560230320163751,F;H,0,0,0,256,0,0,e761e6ae119dc3647dd7532a8031ff1c4f7c6608f70cd395a216934646163817,b93a2fcca4473ee6dca28aa825d6581b5c58e210a1d13f6c9f454bd6de5f6f80
9,0.45,0,NO_TRIGGER,350,0.75,0.0027453580405563116,0.35296855697860063,F;H,0,0,0,0,0,235,1aff19b5217840fb8aa26eb4f77e2a2ae3383114531f4621369053802eb4a8ba,6e5c2750b441973adc605629cc00451b902709747a875e5c029d857990eba662
10,0.5,0,NO_TRIGGER,350,0.75,0.011858739890158176,0.31219259757219986,F;H,0,0,0,0,0,225,632b559e98a14bdde34f1887cf9f3225e2c8fe0ca24d55ddd0f76958d06958e0,d66064edf9ebdfac76ba38bf5f409628d9847f1febb58c4cad467afd6383aeb9
11,0.55,1,KLT_HEALTH_TRIGGER,350,0.75,0.0028956583701074123,0.3105720406026726,F;H,0,0,0,256,0,221,ec5a35d36ef66aba52927ffede73ae9a196e5f70276782335dd904085e0a3f42,abb9edb384e4658fa903ce8d4a31265a886f696aa62ad36509c75bc53de5d594
12,0.6,0,NO_TRIGGER,350,0.75,0.0028199758380651474,0.3085812016543782,F;H,0,149,0,0,0,439,62d2c3cb11c45fb0fbec32a2d7493bad30183f5711b33564612b124ecd31976b,253277634cefd8a81a325ca7d024ec56f9b557c97d15a0daa87cce7e119d6ee3
13,0.65,0,NO_TRIGGER,350,0.7916666666666666,0.0028032376430928707,0.30560476934197567,F;H,0,146,0,0,0,425,862f6ae189a4039b3c7d36a5c7628edb373ae41235f74165fe0b141256d9b24b,5c06e8d86716bf887e999e5035a42896afd889371ee8518732d58d1fc3c3c5dd
14,0.7,0,NO_TRIGGER,350,0.8333333333333334,0.003109423443675041,0.3033935492954707,F;H,0,144,0,0,0,415,551b40bf9df1c0afff20b7a6cc6c4fe0362e4c97501f14449e36f2da6c3daeef,71f06bbefcab0ff684e7aa6aa4c953a30c91e27112a88022898836a6bb6f6338
15,0.75,0,NO_TRIGGER,350,0.8333333333333334,0.007223743014037609,0.27804837317358033,F;H,0,266,0,0,0,397,e722dac26199d5b09a9c9bc463ccda7e26dd1a37b7717f4041aa8bae190d34e1,523c1aa34808bb257afd5110c5f61922740b10458d5f59cfcea6d099af4d7942
16,0.8,0,NO_TRIGGER,350,0.8333333333333334,0.0029068412259221077,0.274486368440096,F;H,0,262,0,0,0,389,213673e4cf2497261265e0795e2616d3a4db4e3929e5f723bacce8fa9e39866b,19223e9702504e6742c8c93809ee04b74e42a90de80e7054e39d6f215e47bb04
17,0.85,0,NO_TRIGGER,350,0.8333333333333334,0.003136762883514166,0.27304842279688657,F;H,0,258,0,0,0,378,6e108f8540934a604597317dda7e47ef47daf22291bdb60610d01418c02fad01,1954932875c03276d2fd777d515524d1a521e5dfe5add1e5de05f773068516e0
18,0.9,0,NO_TRIGGER,350,0.8333333333333334,0.002774895401671529,0.2708490634276737,F;H,0,257,0,0,0,372,b1586f21e63b1cedadc61fe39049f89f72085cf215730c553726292b81d016e0,155fd6c4742d6eded41f49595d97652c26eceb314687640e86b0af2bfe63963c
19,0.95,1,KLT_HEALTH_TRIGGER,350,0.7916666666666666,0.002731969114392996,0.26837885415242924,F;H,0,254,0,223,0,365,e6ffe5ac4e1a5fcbc08bae277442916bacbaa9ec6baa516880d6e51c1ffcf371,197005b7d00276798e71cc3d17d0bfa1bbca5e4492785dfaeb5012735c7bb51a
