frame_index,timestamp_s,trigger,trigger_reason,k0_count,k0_grid_coverage,k0_median_fb,degradation_score,valid_models,learned_eligible,classical_eligible,learned_added,classical_added,learned_alive,classical_alive,master_pool_hash,classical_pool_hash
0,0.0,0,NO_TRIGGER,350,0.75,0.0,0.43239505868628125,F;H,0,0,0,0,0,0,389d6d76c88e99cff1bf67780c453f4f0e1b0883cdabca82c1b3d7a02d26773a,d02aa31a20dc770d1d95b0dc9244b6586a14cb1fdafeac02251d6f69cecb313a
1,0.05,0,NO_TRIGGER,350,0.75,0.003210783936083317,0.4307713043081284,F;H,0,0,0,0,0,0,5605f334a67abc6484102a21c4a0e26d796fe8973d4ee5a785d19092f9d13d04,3ac2c0bd725a8f9912f8abcf378ed58d0e793bf69689d4fb86c53b765383b836
2,0.1,0,NO_TRIGGER,350,0.75,0.0027234263252466917,0.42899031897704076,F;H,0,0,0,0,0,0,e140c4dff660b2216305433aba4b15eb91109c817f5314b6abfc28d502a16187,523275c75ba908ed808a7443fff0dd1fe6f15dab3d41aece72241039103b667d
3,0.15,0,NO_TRIGGER,350,0.75,0.0030085518956184387,0.4273391803506501,F;H,0,0,0,0,0,0,b5f6a7abdf904f2d90e14c396c9eef672572f7e1925bc2ecd2216abe6c81c2d0,e8cc1dd158d0700b71841db08b10d3b02f69f6bd925106e9e56ad3c3b025d81e
4,0.2,0,NO_TRIGGER,350,0.7916666666666666,0.00275072967633605,0.4227992807491282,F;H,0,0,0,0,0,0,a0f27702544d7da8d7967f1267a5443448c173d3b998a861eb4fb2263babbe75,b628f7afb67da37ab1c7d8329c3f734cfb378b92f1dd152daec9898af20c25e5
5,0.25,0,NO_TRIGGER,350,0.7916666666666666,0.03238897770643234,0.3622798903599689,F;H,0,0,0,0,0,0,ef007fdcf4e4089a4f6712431368892241f754305600993185110e29810ff4a7,c3cd7414b85c947036cef8e5ecfa79cc67bf36858b723bcbd32cae67d3c8b00c
6,0.3,0,NO_TRIGGER,350,0.7916666666666666,0.0026776432059705257,0.36015406151694906,F;H,0,0,0,0,0,0,dfc8ecee4ce3cc8ef6bc576b6d359f5d1d56796944727225d2609864c01d82fd,866ec40061596d09abb3de1607c724f10299ddee76a6b81e83cd54b25163eb88
7,0.35,0,NO_TRIGGER,350,0.75,0.002954681869596243,0.3576958747746942,F;H,0,0,0,0,0,0,f477ab2966c475408c604c9d11396408d81ae2ca766777b55eb788144e701f36,591ba3acec760299dddf7ba8dc35de68300605da276665d154175212a2d64b0b
8,0.4,1,KLT_HEALTH_TRIGGER,350,0.75,0.0025868944358080626,0.3560230320163751,F;H,0,0,198,256,0,0,3606f890711d4a4aa52989dbc1586bd7972af8d5bdd7b4ffe7e7e41d48669536,5a33d7fa867d59e5bf6fedff96f49ab998ce49f2ba2be39fbf2e1b8deb14af69
9,0.45,0,NO_TRIGGER,350,0.75,0.0027453580405563116,0.35296855697860063,F;H,0,0,0,0,188,235,ef7858186803e59c6b2e33afa1d7453e224c6b579162d71715c4ffe06dba4abd,835fe78ac7b917ac660b57738035fba52f5edb08fb365f231f312e9cf099e90b
10,0.5,0,NO_TRIGGER,350,0.75,0.011858739890158176,0.31219259757219986,F;H,0,0,0,0,175,225,fe90454f509133fba81434f5d9a63cbbb536a3d2ddde80c3f80383d4bbebc681,1440805af69bf426aaaca0db158d7b8c7e4888c1669d4e22e9680f5fd762291b
11,0.55,1,KLT_HEALTH_TRIGGER,350,0.75,0.0028956583701074123,0.3105720406026726,F;H,0,0,16,256,175,221,48a4a502a5ea54ab12ede6fba0611e9dd78c554a0776392f293ad79410ea2257,095638405b28c38405d4b9a329addfffbadcbcf61731140bba18c0290b3c2a73
12,0.6,0,NO_TRIGGER,350,0.75,0.0028199758380651474,0.3085812016543782,F;H,101,149,0,0,186,417,f0e2d17b47a3f80bdf2e2c73cc2612b4f9f0b430720435ae2b33d9d495378f8d,0b37c3b4fe42ae3629d2aec7da3f1bf785537f75d321110b75c71b596a2db8fb
13,0.65,0,NO_TRIGGER,350,0.7916666666666666,0.0028032376430928707,0.30560476934197567,F;H,97,146,0,0,183,397,b2bec7fe67c86201fe00b815a6c180ee419338a29b729b3f42b49d5e7d017625,3bfc9d4e0d158519e054b0a9c7a5fac40f84db8c675774957340f3f285a22d0b
14,0.7,0,NO_TRIGGER,350,0.8333333333333334,0.003109423443675041,0.3033935492954707,F;H,97,144,0,0,179,386,3edc52aa79588fbac49c0e5e4bebb230a06c13e395b018385c02229eaa4e3336,6d2f1d48a414e5fc7e6aa979c3c5b0d3abe6f7b54e37989c6dded62c8ea02358
15,0.75,0,NO_TRIGGER,350,0.8333333333333334,0.007223743014037609,0.27804837317358033,F;H,103,253,0,0,177,365,f0699c4f43b8f037e79c40dddaaffc4523efbd327ec78441db83fd850829460c,68123f335a5894c5ef8ce0d9e8df5d8c8f71e3cebfd8d51142f404f0fe59053e
16,0.8,0,NO_TRIGGER,350,0.8333333333333334,0.0029068412259221077,0.274486368440096,F;H,103,248,0,0,175,355,ccc07e5d555265b1be478fbbcec1878cdf817a4aa338efc8537e95d72528da82,a54738fd31dbac15ca18a67f764844641da451dc0dccb11061d8fe344070c5ec
17,0.85,0,NO_TRIGGER,350,0.8333333333333334,0.003136762883514166,0.27304842279688657,F;H,103,243,0,0,173,345,d95a81191ce784e23162414dbccb009ae3a4fca1c3c52717b401435d8f632e91,884a6cd9d944dd151899f2a3e8589fa8610393f312b61a673ee946a3d21c106b
18,0.9,0,NO_TRIGGER,350,0.8333333333333334,0.002774895401671529,0.2708490634276737,F;H,101,239,0,0,168,339,5beceac8822d07cfe6676fe61b4992c80dab43fdb959ce078d86665f9ece6214,798023284592a7093dad25b559d8ee25690aad1503686fe12057360b8b62bde7
19,0.95,1,KLT_HEALTH_TRIGGER,350,0.7916666666666666,0.002731969114392996,0.26837885415242924,F;H,103,235,17,183,168,331,23ec36e0f335908419f01ab28cfa7d0ab6c41223e752cd8ac0887e4f317f5f6a,48e54ff30d0949d919a7482939f5e554d33e7014e4e1f299d75c8b76aa4f5eed
