frame_index,timestamp_s,trigger,trigger_reason,k0_count,k0_grid_coverage,k0_median_fb,degradation_score,valid_models,learned_eligible,classical_eligible,learned_added,classical_added,learned_alive,classical_alive,master_pool_hash,classical_pool_hash
0,0.0,0,NO_TRIGGER,350,0.75,0.0,0.43239505868628125,F;H,0,0,0,0,0,0,4bc56b9bc2dfdbf5643e86dd9ef0802fd190d0eeabb00b9426e0316499897f01,f5bf24779f8dfe389538054de6f15b92256e7dc31378be7b2db46fac00b4e96c
1,0.05,0,NO_TRIGGER,350,0.75,0.003210783936083317,0.4307713043081284,F;H,0,0,0,0,0,0,2c92cef166fd9000e8826aa41c257484c5c193b8e02354356003e7886e1b25fe,f08f32d70d18e33f34858576d5c2540f33742a90d1299046b32dbdc114779adb
2,0.1,0,NO_TRIGGER,350,0.75,0.0027234263252466917,0.42899031897704076,F;H,0,0,0,0,0,0,7c08ecee1e2512ee22fea19b57d8bfe10864ac32999b63176ba9d5f19b02ed80,c0f8c56c6e73ea247ceea89a97e37a3d8040c1ac95a59d56cbbac5d345d7eb8e
3,0.15,0,NO_TRIGGER,350,0.75,0.0030085518956184387,0.4273391803506501,F;H,0,0,0,0,0,0,92a311cfb113b26f61895edfdf4d23cd6215cda36fe301f6cdee7362f16709cb,82a5e3f9686909b658ab2dc01b90f8350074f84a59f5c9e26d8145d61f77b2b8
4,0.2,0,NO_TRIGGER,350,0.7916666666666666,0.00275072967633605,0.4227992807491282,F;H,0,0,0,0,0,0,f87f355dda69ee40a919c3269f35663f4b410e9068de72a4ff3c928bdca6aea7,84b11db49522496d1e37b21d6ae86d6fc789fd4d81b5ebb5e527fe1bb7f227de
5,0.25,0,NO_TRIGGER,350,0.7916666666666666,0.03238897770643234,0.3622798903599689,F;H,0,0,0,0,0,0,b6452f7bc26af6e0efcda068b39565ed75b7f624b1d055faf718ee10076fd942,d7de3fe72d799b889a43667812d049f5639abcf3476168b83f01926a70fcfcb2
6,0.3,0,NO_TRIGGER,350,0.7916666666666666,0.0026776432059705257,0.36015406151694906,F;H,0,0,0,0,0,0,54eecb411a6a8ce7a6e3597b485d2dc8209982eceeb56bf553d4330924597e02,1db0c8c5691283851dd7f2598695fcfe9aadb3684d4fac232d9e5270c7d3d3d8
7,0.35,0,NO_TRIGGER,350,0.75,0.002954681869596243,0.3576958747746942,F;H,0,0,0,0,0,0,f1e8d5d62e0e0adc8a9542064b24e4e3b1a97edb628f65535fe1270fdb85d1fa,f2629378a630d52de042f8c6729be383be753b403c7b4eab9bfc99af064305ee
8,0.4,1,KLT_HEALTH_TRIGGER,350,0.75,0.0025868944358080626,0.3560230320163751,F;H,0,0,198,256,0,0,81125f33b2f577d4c781fc0e6f78cfa8691cb5d7639b9be0191feede3b0c9518,f4f7d21efd14edf3843ec0650f554ae58335e74e851917ac84957bef02efcdef
9,0.45,0,NO_TRIGGER,350,0.75,0.0027453580405563116,0.35296855697860063,F;H,0,0,0,0,188,235,278fffcb216d68c84154d2903c3c6287ff5241b422fe1240bde4f9f5beacd61d,8142eb9e5c25d96dc2e919c5d3dd347d2bd51710202bd318d1ebf71a12b82c56
