event_index,frame_index,timestamp_s,master_pool_hash,candidate_pool_hash,selector_config_hash,n_eligible,n_active_before,n_t_qg,overlap_h_qg,overlap_r_qg,overlap_q_qg,overlap_g_qg,h_topn,r_topn,q_topn,g_topn,qg_topn,h_order,qg_order,selection_kernel_ms,selection_active
0,2210,110.5,faa99d6d20ece8e721d514f90055ada3b160c4a5f7273c39cc8045e13fd66158,faa99d6d20ece8e721d514f90055ada3b160c4a5f7273c39cc8045e13fd66158,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,25.283937342464924,0
1,2211,110.55,c4569a5224d6f18d637698d7b3f9baaf2366d14e0b9421cd81a76cd585261b83,c4569a5224d6f18d637698d7b3f9baaf2366d14e0b9421cd81a76cd585261b83,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,19.94814584031701,0
2,2212,110.6,5dec0ac35d96a7f65405084d58c2f8fe3d7667364b01b3acb8571a1cc279d5d3,5dec0ac35d96a7f65405084d58c2f8fe3d7667364b01b3acb8571a1cc279d5d3,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,20.517884753644466,0
3,2213,110.65,0567540508e803dea029a3e6a982ff52e45a6cf1a01919b470947667f3a5d6e4,0567540508e803dea029a3e6a982ff52e45a6cf1a01919b470947667f3a5d6e4,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,20.10064898058772,0
4,2214,110.7,fe5f0a59dd5ae3b56620e2f177ebd8f1fc4cee0f68d931401e88ee6ed4ca873f,fe5f0a59dd5ae3b56620e2f177ebd8f1fc4cee0f68d931401e88ee6ed4ca873f,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,19.12290183827281,0
5,2215,110.75,9ac8faae5ebf39ac819315b48448f4fc1f76cf4558780313be714f305e82a281,9ac8faae5ebf39ac819315b48448f4fc1f76cf4558780313be714f305e82a281,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,20.942043978720903,0
6,2216,110.8,69cda25893f569464164132330c2c33dce1d5fe70d7f694e5703a8b90b8707dc,69cda25893f569464164132330c2c33dce1d5fe70d7f694e5703a8b90b8707dc,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,19.338855985552073,0
7,2217,110.85,611a031a32bdba2c438d98ed84fe2fe17e62f9a6df16d5b5d8db2113005789d1,611a031a32bdba2c438d98ed84fe2fe17e62f9a6df16d5b5d8db2113005789d1,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,21.92928921431303,0
8,2218,110.9,072edd959c35e9aab8837cb895105c4635714ba652228139a96996c8b4514a67,072edd959c35e9aab8837cb895105c4635714ba652228139a96996c8b4514a67,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,21.542233880609274,0
9,2219,110.95,ff57db47c9f94c34a7e49e457b0e4e411610519a31a970921b79c3b9306fc564,ff57db47c9f94c34a7e49e457b0e4e411610519a31a970921b79c3b9306fc564,cb745bc79ce439f6e4cf4ff5d15978e5b700b533f6b481256dd63f024067c19d,0,0,0,,,,,,,,,,,,19.71760205924511,0
