frame_index,timestamp,num_features,grid_coverage,dropout_ratio,flat_region_ratio,degradation_score,exported_features,median_track_age,median_quality,median_backend_quality,median_classical_backend_quality,median_learned_backend_quality,recovery_reason,recovered_count,geometry_mode,learned_candidate_count,learned_confirmed_count,learned_confirmed_xfeat_count,proposer_confirmed_classical_gftt_count,learned_confirmed_age_median,pending_learned_count,pending_learned_age_median,pending_xfeat_count,pending_xfeat_age_median,source_provenance_count,source_provenance_learned_count,source_provenance_xfeat_count,learned_mode,learned_mode_before_sparse_h,learned_mode_after_sparse_h,loftr_sparse_h_allowed,loftr_sparse_h_reason,klt_degeneracy_loftr_allowed,klt_degeneracy_loftr_reason,klt_degeneracy_loftr_score,semidense_acceptance,semidense_raw_candidates,semidense_post_validate_candidates,semidense_accepted_candidates,semidense_queued_pending,semidense_grid_gain,semidense_new_cell_ratio,semidense_before_f_inlier,semidense_after_f_inlier,semidense_before_h_inlier,semidense_after_h_inlier,semidense_before_epipolar,semidense_after_epipolar,semidense_before_homography,semidense_after_homography,pending_loftr_count,pending_loftr_age_median,loftr_confirmed_promoted,exported_learned_features,exported_non_loftr_learned_features,exported_sp_lg_features,exported_xfeat_features,exported_classical_gftt_features,exported_loftr_features,exported_loftr_early_persisted_features,exported_recovered_features,exported_learned_median_age,exported_non_loftr_learned_median_age,exported_xfeat_median_age,exported_loftr_median_age,exported_learned_age_lt3,exported_xfeat_age_lt3,exported_loftr_age_lt3,exported_learned_median_visible_streak,exported_xfeat_median_visible_streak,exported_loftr_median_visible_streak,exported_learned_median_motion_px,exported_xfeat_median_motion_px,exported_loftr_median_motion_px,pre_gate_sidecar_total,pre_gate_sidecar_confirmed,pre_gate_sidecar_age_ok,pre_gate_sidecar_quality_ok,pre_gate_sidecar_ncc_ok,pre_gate_sidecar_fb_ok,pre_gate_sidecar_basic_ok,pre_gate_loftr_total,pre_gate_loftr_basic_ok,pre_gate_non_loftr_total,pre_gate_non_loftr_basic_ok,source_selection_dropped,selected_feature_index,published_feature_frame,init_parallax_gate_triggered,init_parallax_mean_step_px,init_parallax_skipped_feature,init_klt_only_active,adaptive_warmup_full_mirror_enabled,adaptive_warmup_full_mirror_reason,low_parallax_learned_holdoff_active,state_adaptive_q_triggered,state_adaptive_q_active,backend_xfeat_risk_q_active,backend_xfeat_quality_const_effective,backend_xfeat_risk_learned_frames,backend_xfeat_risk_cumulative_gftt,learned_export_gate_active,learned_export_gate_degraded,learned_export_gate_reason,learned_export_loftr_min_quality,learned_export_loftr_min_age,learned_export_loftr_min_ncc,learned_export_loftr_max_fb,export_classical_mirror_backbone,classical_track_count,classical_grid_coverage,learned_export_gate_dropped,learned_export_geometry_dropped,learned_export_geometry_reason,learned_export_benefit_dropped,learned_export_benefit_reason,learned_export_temporal_dropped,learned_export_temporal_reason,learned_export_temporal_recent_frames,learned_export_health_suppression_dropped,learned_export_health_suppression_reason,learned_export_recent_healthy_frames,learned_export_recovery_reason_suppression_dropped,learned_export_recovery_reason_suppression_reason,learned_export_recovery_burst_suppression_dropped,learned_export_recovery_burst_suppression_reason,learned_export_recovery_burst_recent_frames,learned_export_grid_gain,learned_export_new_cells,learned_export_new_cell_ratio,learned_export_weak_cells,classical_motion_px,classical_median_age,tracker_source_histogram,export_source_histogram
0,1532199344.563407421,350,0.6666666666666666,0.0,0.0,0.14821404166928365,350,1.0,0.8517859578132629,0.6922597289085388,0.6922597289085388,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:350,gftt:350
1,1532199344.612250805,350,0.7083333333333334,0.02,0.0,0.14863554846924298,350,2.0,0.3367198407649994,0.6837365031242371,0.6837365031242371,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7083333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:7;klt:343,gftt:7;klt:343
2,1532199344.663127184,350,0.6666666666666666,0.011428571428571429,0.0,0.14892073749704915,350,3.0,0.3379490375518799,0.7154619693756104,0.7154619693756104,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:4;klt:346,gftt:4;klt:346
3,1532199344.711973429,350,0.7083333333333334,0.014285714285714285,0.0,0.14898589752774982,350,4.0,0.3480885624885559,0.7488070726394653,0.7488070726394653,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7083333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:5;klt:345,gftt:5;klt:345
4,1532199344.811715126,350,0.6666666666666666,0.02,0.0,0.14824353996546957,350,5.0,0.36813879013061523,0.7845612168312073,0.7845612168312073,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.6666666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:7;klt:343,gftt:7;klt:343
5,1532199344.860568762,350,0.7083333333333334,0.017142857142857144,0.0,0.14810316887524855,350,6.0,0.3902760446071625,0.8213124871253967,0.8213124871253967,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7083333333333334,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:6;klt:344,gftt:6;klt:344
6,1532199344.911437035,350,0.7916666666666666,0.025714285714285714,0.0,0.14776622669808392,350,7.0,0.40523451566696167,0.8558820486068726,0.8558820486068726,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7916666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:9;klt:341,gftt:9;klt:341
7,1532199344.960277319,350,0.7916666666666666,0.008571428571428572,0.0,0.1475923622720412,350,8.0,0.41030627489089966,0.8899903297424316,0.8899903297424316,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.7916666666666666,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:3;klt:347,gftt:3;klt:347
8,1532199345.011153936,350,0.75,0.017142857142857144,0.0,0.14725010439759845,350,9.0,0.4270804524421692,0.893059253692627,0.893059253692627,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.75,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:6;klt:344,gftt:6;klt:344
9,1532199345.060017586,350,0.75,0.005714285714285714,0.0,0.14679597856823157,350,10.0,0.4350539445877075,0.8947440385818481,0.8947440385818481,nan,n/a,0,n/a,0,0,0,0,nan,0,nan,0,nan,0,0,0,n/a,n/a,n/a,0,n/a,0,n/a,0.0,n/a,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,nan,0,0,0,policy_inactive,0,0,0,0,none,0,0,0,0,disabled,none,none,none,none,0,350,0.75,0,0,disabled,0,disabled,0,disabled,0,0,disabled,0,0,disabled,0,disabled,0,nan,0,nan,0,nan,nan,gftt:2;klt:348,gftt:2;klt:348
