position,direct_frame_index,ros_frame_index,direct_normalized_index,ros_normalized_index,normalized_index_match,direct_grid_coverage,ros_grid_coverage,abs_diff_grid_coverage,direct_dropout_ratio,ros_dropout_ratio,abs_diff_dropout_ratio,direct_flat_region_ratio,ros_flat_region_ratio,abs_diff_flat_region_ratio,direct_degradation_score,ros_degradation_score,abs_diff_degradation_score
0,2210,0,0,0,true,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.2777428420358433,0.2777428420358433,0.0
1,2211,1,1,1,true,0.875,0.875,0.0,0.1457142857142857,0.1457142857142857,0.0,0.20833333333333334,0.20833333333333334,0.0,0.27543996955443373,0.27543996955443373,0.0
2,2212,2,2,2,true,0.875,0.875,0.0,0.11428571428571428,0.11428571428571428,0.0,0.20833333333333334,0.20833333333333334,0.0,0.27563605520069645,0.27563605520069645,0.0
3,2213,3,3,3,true,0.875,0.875,0.0,0.10285714285714286,0.10285714285714286,0.0,0.20833333333333334,0.20833333333333334,0.0,0.27652546982542126,0.27652546982542126,0.0
4,2214,4,4,4,true,0.8333333333333334,0.8333333333333334,0.0,0.08857142857142856,0.08857142857142856,0.0,0.20833333333333334,0.20833333333333334,0.0,0.2764113092393572,0.2764113092393572,0.0
5,2215,5,5,5,true,0.8333333333333334,0.8333333333333334,0.0,0.09714285714285714,0.09714285714285714,0.0,0.20833333333333334,0.20833333333333334,0.0,0.2763022080664215,0.2763022080664215,0.0
6,2216,6,6,6,true,0.875,0.875,0.0,0.1,0.1,0.0,0.20833333333333334,0.20833333333333334,0.0,0.27659120205135834,0.27659120205135834,0.0
7,2217,7,7,7,true,0.875,0.875,0.0,0.09142857142857143,0.09142857142857143,0.0,0.20833333333333334,0.20833333333333334,0.0,0.27702981323225495,0.27702981323225495,0.0
8,2218,8,8,8,true,0.875,0.875,0.0,0.06857142857142857,0.06857142857142857,0.0,0.20833333333333334,0.20833333333333334,0.0,0.2769240977379338,0.2769240977379338,0.0
9,2219,9,9,9,true,0.875,0.875,0.0,0.10857142857142857,0.10857142857142857,0.0,0.25,0.25,0.0,0.2791905227027084,0.2791905227027084,0.0
