schema_version,protocol_version,dataset_family,sequence,window_index,window_start_s,window_end_s,absolute_image_start_s,absolute_image_end_s,runner_interface,runner_start,runner_end_or_duration,runner_unit,raw_bag_start_s,raw_bag_end_s,mapping_pass,outcome_boundary
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,0,0.0,45.0,1494876479.7215545,1494876524.7215545,ROS_BAG_START_OFFSET_AND_DURATION,0.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,1,45.0,90.0,1494876524.7215545,1494876569.7215545,ROS_BAG_START_OFFSET_AND_DURATION,45.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,2,90.0,135.0,1494876569.7215545,1494876614.7215545,ROS_BAG_START_OFFSET_AND_DURATION,90.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,3,135.0,180.0,1494876614.7215545,1494876659.7215545,ROS_BAG_START_OFFSET_AND_DURATION,135.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,4,180.0,225.0,1494876659.7215545,1494876704.7215545,ROS_BAG_START_OFFSET_AND_DURATION,180.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,5,225.0,270.0,1494876704.7215545,1494876749.7215545,ROS_BAG_START_OFFSET_AND_DURATION,225.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,6,270.0,315.0,1494876749.7215545,1494876794.7215545,ROS_BAG_START_OFFSET_AND_DURATION,270.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,7,315.0,360.0,1494876794.7215545,1494876839.7215545,ROS_BAG_START_OFFSET_AND_DURATION,315.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,8,360.0,405.0,1494876839.7215545,1494876884.7215545,ROS_BAG_START_OFFSET_AND_DURATION,360.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
isj-p06-window-time-mapping-v1,isj-window-selection-v2,afrl,bus_outside,9,405.0,450.0,1494876884.7215545,1494876929.7215545,ROS_BAG_START_OFFSET_AND_DURATION,405.0,45.0,second,1494876479.7215545,1494877064.7205822,true,KLT_AND_IMAGE_QUALITY_ONLY_NO_LEARNED_OR_VINS_OUTCOME
