schema_version,queue_index,assignment_rank,pattern_id,arm_order_position,replay_index,algorithmic_slot,run_id,window_id,dataset_family,data_domain,sequence,window_start_s,window_end_s,runner_start,runner_end_or_duration,runner_unit,runner_mode,runner_method,runner_every_n,runner_tag,texture_stratum,selection_tier,arm,arm_role,applicability,source_frontend_queue_index,source_d_slot_index,source_run_id,source_provenance_kind,source_provenance_hash,feature_bag,feature_bag_sha256,attestation_path,attestation_sha256,input_audit_path,input_audit_sha256,replay_argv_json,replay_argv_sha256,expected_run_dir,expected_attempt_dir,evaluator_profile_id,estimated_output_bytes,status,method_lock_hash,environment_manifest_sha256,evaluator_protocol_sha256,evaluator_implementation_sha256,failure_taxonomy_sha256,capacity_policy,outcome_boundary
isj-p07-backend-replay-queue-v1,1,1,0,1,1,b01,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b01_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,origin,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b0_b01_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B0_native_vins_origin_v1,native_vins_reference,REQUIRED,,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,,,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""1"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",47cb0bc345f97f387d8121e0b8d9bb1f573ba61bdd511a2d75167e4e76f180c5,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_001_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b01_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,2,1,0,1,2,b02,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b02_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,origin,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b0_b02_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B0_native_vins_origin_v1,native_vins_reference,REQUIRED,,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,,,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""2"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",d7df9a848dea9acb2db16bb523cff2e3c86d2bcd872ff4dd9d1bb08285aa02a1,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_002_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b02_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,3,1,0,1,3,b03,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b03_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,origin,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b0_b03_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B0_native_vins_origin_v1,native_vins_reference,REQUIRED,,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,,,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""3"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",0ce0dceb6bd430019d272d356f362f41756f65d5b6961e4117f222c47fee0e25,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_003_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b03_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,4,1,0,2,1,b01,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b01_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b1_b01_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,strong_external_klt_baseline,REQUIRED,1,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_001_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/audit_v2.json,569a59d09788ddbfd31953be348437f7b1379e4592f788a90b1e4b9400e4760d,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""4"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",6f1d4f04f2fdd37210f0b8b853ef10eade59eebb541931ba52e6e49ca345c818,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_004_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b01_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,5,1,0,2,2,b02,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b02_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b1_b02_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,strong_external_klt_baseline,REQUIRED,1,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_001_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/audit_v2.json,569a59d09788ddbfd31953be348437f7b1379e4592f788a90b1e4b9400e4760d,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""5"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",fa82dc2ccde45f32eddbb69fd760a63efa3fe6b218a3ee21c9b4b079f661d726,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_005_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b02_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,6,1,0,2,3,b03,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b03_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,klt,2,p07_backend_aqualoc_archaeology-A02-0005_b1_b03_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,B1_klt_nativeq_v3,strong_external_klt_baseline,REQUIRED,1,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_001_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/audit_v2.json,569a59d09788ddbfd31953be348437f7b1379e4592f788a90b1e4b9400e4760d,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""6"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",c3b692cf01f6c300913e286b2846f2b6988b5ea6717faaa47c7a30dbc690419b,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_006_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b03_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,7,1,0,3,1,b01,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b01_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,xfeat,2,p07_backend_aqualoc_archaeology-A02-0005_m_b01_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,controlled_modern_xfeat_baseline,REQUIRED,2,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_002_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/audit_v2.json,39fb4d06b46f0b2cca939e11c992adf8b3a8eb08abb68669e745ab67f59765b6,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""7"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",352a848d2279c576ec503c527a6d6d66396b672228b1ee7ad4d6b515c3eb77a3,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_007_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b01_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,8,1,0,3,2,b02,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b02_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,xfeat,2,p07_backend_aqualoc_archaeology-A02-0005_m_b02_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,controlled_modern_xfeat_baseline,REQUIRED,2,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_002_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/audit_v2.json,39fb4d06b46f0b2cca939e11c992adf8b3a8eb08abb68669e745ab67f59765b6,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""8"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",e20c6ad2ed348b76941a9f3f2eacf5538085e72650f169a875edbd2693c315c9,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_008_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b02_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,9,1,0,3,3,b03,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b03_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,xfeat,2,p07_backend_aqualoc_archaeology-A02-0005_m_b03_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,M_xfeat_pairwise_nativeq_v1,controlled_modern_xfeat_baseline,REQUIRED,2,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_002_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/audit_v2.json,39fb4d06b46f0b2cca939e11c992adf8b3a8eb08abb68669e745ab67f59765b6,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""9"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",1d47457681ea664112f54304fd5727c0fa57aeea1d0e205811ead62b8f4206de,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_009_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b03_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-replay-queue-v1,10,1,0,4,1,b01,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b01_20260808T035400Z,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,225.0,270.0,4500,5400,frame,external,klt,2,p07_backend_aqualoc_archaeology-A02-0005_p_b01_20260808T035400Z,low,RELATIVE_Q80_FALLBACK,P_legacy_nativeq_xfeat_seedchain_v3,proposed_gated_persistent_frontend,REQUIRED,3,,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,c7de300ead2cda95b1554dcbe439e6a90e69c2d35fbe131c6c1eb78d7aab719f,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback/features.bag.quality-contract.json,3a0dbeca2dd4684945ed204f83381519562ce398aa89b96d617d4c7b44f00198,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/audit_v2.json,eb99d1647d64b35096220489b97fbf7bd1787a05b2584d97f76c8ba499c0f11f,"[""python3"",""scripts/run_p07_backend_replay_job_v1.py"",""--queue-index"",""10"",""--execution-lock"",""papers/ieee_sensors_journal_experiments/p07/backend_replay_execution_lock_v1.json""]",9a81b9528f8e5c627f5bcf093ba0a1f97cae71cdadc4b25327346900dc977d92,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_p_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_010_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b01_20260808T035400Z_attempt01,g0_common_support_v1:aqualoc_archaeology,16777216,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,3a541136b7b112d5c480139383edd575558e54da61393079ac63260e90a6386b,d3ae583ca799ef423054a5b9ece8b53e0000a8d3bbb1ea8c50121f7a60a40816,b53bd0e02dcedb945413367d607da5200b2bc01197e93f004d0e16a0e7ffab5a,0a465876e43a6a28a24ad76d06abbdd762b5833ee45eeb5a540b4e7b7066c252,REMAINING_ESTIMATE_X1P2_PLUS_2GIB_RESERVE,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
