schema_version,queue_index,run_id,allocated_at,window_id,dataset_family,sequence,window_start_s,window_end_s,arm,replay_index,algorithmic_slot,backend_replay,source_frontend_queue_index,source_run_id,source_provenance_kind,source_provenance_hash,feature_bag,feature_bag_sha256,attestation_path,attestation_sha256,expected_run_dir,expected_attempt_dir,status,method_lock_hash,backend_queue_lock_hash,outcome_boundary
isj-p07-backend-run-allocation-v1,1,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b01_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B0_native_vins_origin_v1,1,b01,b01,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_001_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b01_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,2,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b02_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B0_native_vins_origin_v1,2,b02,b02,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_002_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b02_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,3,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b03_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B0_native_vins_origin_v1,3,b03,b03,,B0_NATIVE_DATA:aqualoc_archaeology:A02:0005,B0_NATIVE_DATA_IDENTITY_V1,5d5a47604f289abc6ebe66bd5a15eededcfdd6ebc13cf2a7e8998cfeac7bd474,,,,,logs/aqualoc_archaeo_vins/origin_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b0_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_003_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B0_f0_b03_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,4,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b01_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B1_klt_nativeq_v3,1,b01,b01,1,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_004_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b01_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,5,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b02_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B1_klt_nativeq_v3,2,b02,b02,1,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_005_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b02_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,6,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b03_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,B1_klt_nativeq_v3,3,b03,b03,1,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,AUDITOR_ONLY_CORRECTION_CLOSEOUT_V1,2ea1b915e48590dfa90840fcad171883f722c1691238326e36c9803928260c19,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag.quality-contract.json,c9995307aeb3225189bf00106e4ac38e4aeb1a572b79c2f33347b23bd14e1bfb,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_b1_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_006_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b03_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,7,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b01_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,M_xfeat_pairwise_nativeq_v1,1,b01,b01,2,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_007_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b01_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,8,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b02_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,M_xfeat_pairwise_nativeq_v1,2,b02,b02,2,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b02_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_008_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b02_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,9,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b03_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,M_xfeat_pairwise_nativeq_v1,3,b03,b03,2,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,5a8c959f732d422e9e0248a141d8afb090a3cda630accb52772db0ecb7383325,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,logs/aqualoc_archaeo_vins/external_xfeat_every2_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/features.bag.p05-xfeat-contract.json,99627edb253a9deae1fcc375e9105d3ef71c6053ea8ca1f9b6bd18295caeb13b,logs/aqualoc_archaeo_vins/external_xfeat_every2_p07_backend_aqualoc_archaeology-A02-0005_m_b03_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_009_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_M_f0_b03_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
isj-p07-backend-run-allocation-v1,10,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b01_20260808T035400Z,2026-08-08T11:54:00+08:00,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,225.0,270.0,P_legacy_nativeq_xfeat_seedchain_v3,1,b01,b01,3,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b00_20260806T084500Z,CANONICAL_FRONTEND_COMPLETED_V1,c7de300ead2cda95b1554dcbe439e6a90e69c2d35fbe131c6c1eb78d7aab719f,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback/features.bag,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback/features.bag.quality-contract.json,3a0dbeca2dd4684945ed204f83381519562ce398aa89b96d617d4c7b44f00198,logs/aqualoc_archaeo_vins/external_klt_every2_p07_backend_aqualoc_archaeology-A02-0005_p_b01_20260808T035400Z,papers/ieee_sensors_journal_experiments/p07/backend_attempts/queue_010_isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b01_20260808T035400Z_attempt01,PLANNED,1d032e4d43b2a647626b40cef906144dcceab523126bfee3b345b05b4efb578d,a4a9fd20541be949ab78e584e1e5ccd4346c049dba79962112f6d1e8e7b8533e,BACKEND_QUEUE_FROZEN_BEFORE_P07_TRAJECTORY_OUTCOME
