schema_version,slot_index,window_id,dataset_family,data_domain,sequence,texture_stratum,selection_tier,arm,proposed_queue_index,proposed_tag_base,applicability,applicability_rule,resolution_time,derivation,required_audit,algorithmic_replay_slots,status,outcome_boundary
isj-p07-d-applicability-queue-v1,1,afrl:bus_outside:0001,afrl,AFRL stereo VI,bus_outside,low,ABSOLUTE_LOW,D_legacy_exact_lineage_drop_v3,29,isj_p07_afrl_bus_outside_0001_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,2,aqualoc_archaeology:A01:0003,aqualoc_archaeology,AQUALOC archaeology,A01,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,47,isj_p07_aqualoc_archaeology_a01_0003_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,3,aqualoc_archaeology:A01:0018,aqualoc_archaeology,AQUALOC archaeology,A01,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,5,isj_p07_aqualoc_archaeology_a01_0018_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,4,aqualoc_archaeology:A02:0005,aqualoc_archaeology,AQUALOC archaeology,A02,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,3,isj_p07_aqualoc_archaeology_a02_0005_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,5,aqualoc_archaeology:A03:0001,aqualoc_archaeology,AQUALOC archaeology,A03,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,19,isj_p07_aqualoc_archaeology_a03_0001_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,6,aqualoc_archaeology:A04:0002,aqualoc_archaeology,AQUALOC archaeology,A04,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,55,isj_p07_aqualoc_archaeology_a04_0002_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,7,aqualoc_archaeology:A07:0001,aqualoc_archaeology,AQUALOC archaeology,A07,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,59,isj_p07_aqualoc_archaeology_a07_0001_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,8,aqualoc_archaeology:A07:0002,aqualoc_archaeology,AQUALOC archaeology,A07,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,51,isj_p07_aqualoc_archaeology_a07_0002_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,9,aqualoc_archaeology:A08:0002,aqualoc_archaeology,AQUALOC archaeology,A08,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,41,isj_p07_aqualoc_archaeology_a08_0002_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,10,aqualoc_archaeology:A10:0007,aqualoc_archaeology,AQUALOC archaeology,A10,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,39,isj_p07_aqualoc_archaeology_a10_0007_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,11,aqualoc_archaeology:A10:0013,aqualoc_archaeology,AQUALOC archaeology,A10,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,31,isj_p07_aqualoc_archaeology_a10_0013_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,12,aqualoc_harbor:H01:0000,aqualoc_harbor,AQUALOC harbor,H01,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,27,isj_p07_aqualoc_harbor_h01_0000_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,13,aqualoc_harbor:H02:0007,aqualoc_harbor,AQUALOC harbor,H02,low,RELATIVE_Q80_FALLBACK,D_legacy_exact_lineage_drop_v3,35,isj_p07_aqualoc_harbor_h02_0007_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,14,aqualoc_harbor:H03:0001,aqualoc_harbor,AQUALOC harbor,H03,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,43,isj_p07_aqualoc_harbor_h03_0001_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,15,aqualoc_harbor:H04:0003,aqualoc_harbor,AQUALOC harbor,H04,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,53,isj_p07_aqualoc_harbor_h04_0003_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
isj-p07-d-applicability-queue-v1,16,aqualoc_harbor:H05:0002,aqualoc_harbor,AQUALOC harbor,H05,normal,STRICT_NORMAL,D_legacy_exact_lineage_drop_v3,7,isj_p07_aqualoc_harbor_h05_0002_p_attempt01,PENDING_APPLICABILITY,accepted_learned_born_lineage_count>0,AFTER_P_EXPORT_BEFORE_TRAJECTORY_OUTCOME,EXACT_WHOLE_LEARNED_BORN_ID_LINEAGE_DROP,PASS_EXACT_WHOLE_LINEAGE_DROP,3,PLANNED,FRONTEND_EXPORT_ONLY_NO_VINS_APE_RPE_TRAJECTORY
