audit_schema,dataset_family,data_domain,sequence,raw_input_path,raw_format,raw_exists,raw_size_bytes,raw_integrity,reference_path,reference_exists,reference_type,reference_method,reference_independence,reference_frame,metric_scale,reference_raw_count,reference_unique_count,reference_duplicate_count,reference_start_s,reference_end_s,reference_duration_s,observed_reference_rate_hz,observed_max_reference_gap_s,nominal_reference_rate_hz,evaluation_rate_hz,max_reference_gap_s,nominal_estimate_rate_hz,max_estimate_interp_gap_s,nominal_image_rate_hz,nominal_imu_rate_hz,timestamp_offset_s,image_imu_sync_status,calibration_status,license_status,reference_sha256,eligibility,decision_reason,evidence_paths
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A01,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_1_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,4341590055,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,875,875,0,0,879,879,0.994311718,5,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,df3026a3692a3017fd864d404b8c8cd5e8a687b2fe114534ed647d0690f27de1,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_01.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A02,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_2_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,2195786266,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_02.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,445,445,0,0,449,449,0.988864143,5,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,1122b753372545966026df10f1899e751cdaa3359a6938be251cd8e22b6e4379,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_02.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A03,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_3_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,1521967899,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_03.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,311,311,0,0,316,316,0.981012658,7,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,dba801368583702ba648cf29b0b1834195e4984b620da13fabf7d9f6ffa931f7,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_03.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A04,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_4_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,3283615324,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_04.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,552,552,0,0,669,669,0.823617339,34,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,7b6242a9046e5894143f39e2d60b98dcddfd33f8ff2a13d3157ba88ceda878d5,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_04.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A05,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_5_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,866604152,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_05.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,183,183,0,17,199,182,1,1,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,87b97391a724d7aea851b750a43e7af33848925c74ec6e805d96284e43bc27e3,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_05.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A06,datasets/aqualoc/samples/archaeo_sequence_06_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,758010849,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_06.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,166,166,0,0,169,169,0.976331361,2,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,6f99b914d2143ba8a8d46f00d9c6c9ac981405d4491891c080380c0679582fe8,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_06.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A07,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_7_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,2792940805,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_07.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,528,528,0,0,568,568,0.927816901,9,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,883d8b9769bb838470ae22ddcc4aaba878dc88ad919832561f92322e51bebc36,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_07.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A08,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_8_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,2316571070,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_08.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,377,377,0,0,469,469,0.801705757,38,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,519d27750efd7e53c27a2bc3ff35bc9cf5c9fd2b888184eefea284bcfe8f2b6c,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_08.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A09,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_9_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,1722658380,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_09.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,316,316,0,0,349,349,0.902578797,16,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,b732a68ec354cb66d36b1a9f708d614c70e884d4c167f8940f9601cfce69ac17,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_09.txt;datasets/full_downloads/aqualoc/README.md
isj-reference-audit-v1,aqualoc_archaeology,AQUALOC archaeology,A10,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_sequence_10_raw_data.tar.gz,AQUALOC raw_data tar.gz,true,3761302356,SIZE_MATCH,datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_10.txt,true,camera trajectory,offline COLMAP,method-independent but image-derived; not sensor-independent,world_T_camera,updated AQUALOC COLMAP scale corrected with depth metadata,693,693,0,0,714,714,0.969187675,9,1,1.0,2.5,10,0.25,20,200,0.0,IMAGE_IMU_SHARED_EPOCH_GT_IMAGE_INDEXED,PASS_ALL_PRESENT,citation/readme terms; explicit SPDX license not found locally,29149375d1d052fda4daaca7fa244e0096256b2eda0b7e3131d6204e882a4655,ELIGIBLE_WITH_REFERENCE_CAVEAT,"Raw archive, updated COLMAP reference, and Kalibr calibration are present; exact prior windows are excluded.",datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_camera_calib.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_calibration_files/archaeo_imu_noises.yaml;datasets/full_downloads/aqualoc/Archaeological_site_sequences/archaeo_groundtruth_files/new_archaeo_colmap_traj_sequence_10.txt;datasets/full_downloads/aqualoc/README.md
