timestamp,reference_valid,B1_CONSTQ_valid,XFEATBIRTH_RAWLK_valid,common_valid,segment_id
1542829061.6926866,1,1,1,1,0
1542829062.6926866,1,1,1,1,0
1542829063.6926866,1,1,1,1,0
1542829064.6926866,1,1,1,1,0
1542829065.6926866,1,1,1,1,0
1542829066.6926866,1,1,1,1,0
1542829067.6926866,1,1,1,1,0
1542829068.6926866,1,1,1,1,0
1542829069.6926866,1,1,1,1,0
1542829070.6926866,1,1,1,1,0
1542829071.6926866,1,1,1,1,0
1542829072.6926866,1,1,1,1,0
1542829073.6926866,1,1,1,1,0
1542829074.6926866,1,1,1,1,0
1542829075.6926866,1,1,1,1,0
1542829076.6926866,1,1,1,1,0
1542829077.6926866,1,1,1,1,0
1542829078.6926866,1,1,1,1,0
1542829079.6926866,1,1,1,1,0
1542829080.6926866,1,1,1,1,0
1542829081.6926866,1,1,1,1,0
1542829082.6926866,1,1,1,1,0
1542829083.6926866,1,1,1,1,0
1542829084.6926866,1,1,1,1,0
1542829085.6926866,1,1,1,1,0
1542829086.6926866,1,1,1,1,0
1542829087.6926866,1,1,1,1,0
1542829088.6926866,1,1,1,1,0
1542829089.6926866,1,1,1,1,0
1542829090.6926866,1,1,1,1,0
1542829091.6926866,1,1,1,1,0
1542829092.6926866,1,1,1,1,0
1542829093.6926866,1,1,1,1,0
1542829094.6926866,1,1,1,1,0
1542829095.6926866,1,1,1,1,0
1542829096.6926866,1,1,1,1,0
1542829097.6926866,1,1,1,1,0
1542829098.6926866,1,1,1,1,0
1542829099.6926866,1,1,1,1,0
1542829100.6926866,1,1,1,1,0
1542829101.6926866,1,1,1,1,0
1542829102.6926866,1,1,1,1,0
1542829103.6926866,1,1,1,1,0
1542829104.6926866,1,1,1,1,0
1542829105.6926866,1,1,1,1,0
