timestamp,reference_valid,GFTTBIRTH_RAWLK_valid,XFEATBIRTH_RAWLK_valid,common_valid,segment_id
1542829016.7004354,1,0,0,0,-1
1542829017.7004354,1,0,0,0,-1
1542829018.7004354,1,0,0,0,-1
1542829019.7004354,1,0,0,0,-1
1542829020.7004354,1,0,0,0,-1
1542829021.7004354,1,1,0,0,-1
1542829022.7004354,1,1,1,1,0
1542829023.7004354,1,1,1,1,0
1542829024.7004354,1,1,1,1,0
1542829025.7004354,1,1,1,1,0
1542829026.7004354,1,1,1,1,0
1542829027.7004354,1,1,1,1,0
1542829028.7004354,1,1,1,1,0
1542829029.7004354,1,1,1,1,0
1542829030.7004354,1,1,1,1,0
1542829031.7004354,1,1,1,1,0
1542829032.7004354,1,1,1,1,0
1542829033.7004354,1,1,1,1,0
1542829034.7004354,1,1,1,1,0
1542829035.7004354,1,1,1,1,0
1542829036.7004354,1,1,1,1,0
1542829037.7004354,1,1,1,1,0
1542829038.7004354,1,1,1,1,0
1542829039.7004354,1,1,1,1,0
1542829040.7004354,1,1,1,1,0
1542829041.7004354,1,1,1,1,0
1542829042.7004354,1,1,1,1,0
1542829043.7004354,1,1,1,1,0
1542829044.7004354,1,1,1,1,0
1542829045.7004354,1,1,1,1,0
1542829046.7004354,1,1,1,1,0
1542829047.7004354,1,1,1,1,0
1542829048.7004354,1,1,1,1,0
1542829049.7004354,1,1,1,1,0
1542829050.7004354,1,1,1,1,0
1542829051.7004354,1,1,1,1,0
1542829052.7004354,1,1,1,1,0
1542829053.7004354,1,1,1,1,0
1542829054.7004354,1,1,1,1,0
1542829055.7004354,1,1,1,1,0
1542829056.7004354,1,1,1,1,0
1542829057.7004354,1,1,1,1,0
1542829058.7004354,1,1,1,1,0
1542829059.7004354,1,1,1,1,0
1542829060.7004354,1,1,1,1,0
1542829061.7004354,1,1,1,1,0
1542829062.7004354,1,1,1,1,0
1542829063.7004354,1,1,1,1,0
1542829064.7004354,1,1,1,1,0
1542829065.7004354,1,1,1,1,0
1542829066.7004354,1,1,1,1,0
1542829067.7004354,1,1,1,1,0
1542829068.7004354,1,1,1,1,0
1542829069.7004354,1,1,1,1,0
1542829070.7004354,1,1,1,1,0
1542829071.7004354,1,1,1,1,0
1542829072.7004354,1,1,1,1,0
1542829073.7004354,1,1,1,1,0
1542829074.7004354,1,1,1,1,0
1542829075.7004354,1,1,1,1,0
1542829076.7004354,1,1,1,1,0
1542829077.7004354,1,1,1,1,0
1542829078.7004354,1,1,1,1,0
1542829079.7004354,1,1,1,1,0
1542829080.7004354,1,1,1,1,0
1542829081.7004354,1,1,1,1,0
1542829082.7004354,1,1,1,1,0
1542829083.7004354,1,1,1,1,0
1542829084.7004354,1,1,1,1,0
1542829085.7004354,1,1,1,1,0
1542829086.7004354,1,1,1,1,0
1542829087.7004354,1,1,1,1,0
1542829088.7004354,1,1,1,1,0
1542829089.7004354,1,1,1,1,0
1542829090.7004354,1,1,1,1,0
1542829091.7004354,1,1,1,1,0
1542829092.7004354,1,1,1,1,0
1542829093.7004354,1,1,1,1,0
1542829094.7004354,1,1,1,1,0
1542829095.7004354,1,1,1,1,0
1542829096.7004354,1,1,1,1,0
1542829097.7004354,1,1,1,1,0
1542829098.7004354,1,1,1,1,0
1542829099.7004354,1,1,1,1,0
1542829100.7004354,1,1,1,1,0
1542829101.7004354,1,1,1,1,0
1542829102.7004354,1,1,1,1,0
1542829103.7004354,1,1,1,1,0
1542829104.7004354,1,1,1,1,0
1542829105.7004354,1,1,1,1,0
