scope,case_id,queue_index,window_id,dataset_family,sequence,frontend_status,feature_frames,feature_observations,feature_bag_sha256,source_codes,q_min,q_max,ape_rmse_m,rpe_rmse_m,ape_valid,rpe_valid,backend_replays_terminal,runtime_s,resource_contract,source_artifact,notes
P05_DEVELOPMENT_EXPORT_PROBE,ntnu_r1,,ntnu_r1,ntnu,,PASS,100,25013,210ad894b16de75b10ce374f129f946d41ae5a04ab1f986442fc4d64be2f13de,"{""20"":25013}",0.8278652429580688,0.9004404544830322,,,,,0,,same backend/config/budget contract; export-only,papers/ieee_sensors_journal_experiments/p05/fairness_audit.csv,P05 fairness/integration probe; no trajectory winner claim.
P05_DEVELOPMENT_EXPORT_PROBE,ntnu_r2,,ntnu_r2,ntnu,,PASS,100,25013,210ad894b16de75b10ce374f129f946d41ae5a04ab1f986442fc4d64be2f13de,"{""20"":25013}",0.8278652429580688,0.9004404544830322,,,,,0,,same backend/config/budget contract; export-only,papers/ieee_sensors_journal_experiments/p05/fairness_audit.csv,P05 fairness/integration probe; no trajectory winner claim.
P05_DEVELOPMENT_EXPORT_PROBE,aqualoc_a06,,aqualoc_a06,aqualoc,,PASS,35,9087,cfc9dd323649746504b236c54d158cd9693e560049435e52fa4edbf5285c28b8,"{""20"":9087}",0.8266298770904541,0.8997542858123779,,,,,0,,same backend/config/budget contract; export-only,papers/ieee_sensors_journal_experiments/p05/fairness_audit.csv,P05 fairness/integration probe; no trajectory winner claim.
P05_DEVELOPMENT_EXPORT_PROBE,aqualoc_h07,,aqualoc_h07,aqualoc,,PASS,30,7554,432de02cef18a8d06261d5f41096e4e85136f26dab3564717dcb1dbbb3db3da9,"{""20"":7554}",0.8278530836105347,0.907187819480896,,,,,0,,same backend/config/budget contract; export-only,papers/ieee_sensors_journal_experiments/p05/fairness_audit.csv,P05 fairness/integration probe; no trajectory winner claim.
P05_DEVELOPMENT_EXPORT_PROBE,afrl_cemetery,,afrl_cemetery,afrl,,PASS,75,24715,39ef071b5e163931565dcdc490e29e79085df94c83306aec91fffddaaeb799a2,"{""20"":24715}",0.8323162794113159,0.9200000166893005,,,,,0,,same backend/config/budget contract; export-only,papers/ieee_sensors_journal_experiments/p05/fairness_audit.csv,P05 fairness/integration probe; no trajectory winner claim.
P07_OUTCOME_BLIND_CONFIRMATORY_MATRIX,aqualoc_archaeology:A02:0005,2,aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,COMPLETED,450,144058,025c7d1df8542cc3a76550bff612f0a6cbcac7e9083bee9914a19be030c8e194,"{""20"": 144058}",0.826055109500885,0.9136164784431458,,,,,0,,official XFeat pairwise same-backend reproduction; native-q,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_002_isj_p07_aqualoc_archaeology_a02_0005_m_attempt01/audit_v2.json,Frontend export audited; trajectory remains unread until global P07 export/D closeout.
P07_OUTCOME_BLIND_CONFIRMATORY_MATRIX,aqualoc_archaeology:A01:0018,6,aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,COMPLETED,450,136786,a9cbab3a25c5e1302915814bfb383d63eb23edaa223c63691427a7fc6a3b6ae6,"{""20"": 136786}",0.8279926180839539,0.9127234816551208,,,,,0,,official XFeat pairwise same-backend reproduction; native-q,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_006_isj_p07_aqualoc_archaeology_a01_0018_m_attempt01/audit_v3.json,Frontend export audited; trajectory remains unread until global P07 export/D closeout.
P07_OUTCOME_BLIND_CONFIRMATORY_MATRIX,aqualoc_harbor:H05:0002,8,aqualoc_harbor:H05:0002,aqualoc_harbor,H05,COMPLETED,450,122190,db7a94c0007785fbef169ee1ac370446b392b26589745df0bb3c66db82b55b53,"{""20"": 122190}",0.8263239860534668,0.9142663478851318,,,,,0,,official XFeat pairwise same-backend reproduction; native-q,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_008_isj_p07_aqualoc_harbor_h05_0002_m_attempt01/audit_v3.json,Frontend export audited; trajectory remains unread until global P07 export/D closeout.
P07_OUTCOME_BLIND_CONFIRMATORY_MATRIX,ntnu:fjord_6:0001,10,ntnu:fjord_6:0001,ntnu,fjord_6,COMPLETED,450,108416,1b75395b80058c7d0afffc8eeadb507bd70cb2a13e4945b346d6152569b6c5b7,"{""20"": 108416}",0.8259836435317993,0.9131775498390198,,,,,0,,official XFeat pairwise same-backend reproduction; native-q,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_010_isj_p07_ntnu_fjord_6_0001_m_attempt01/audit_v3.json,Frontend export audited; trajectory remains unread until global P07 export/D closeout.
P07_OUTCOME_BLIND_CONFIRMATORY_MATRIX,aqualoc_harbor:H06:0000,14,aqualoc_harbor:H06:0000,aqualoc_harbor,H06,COMPLETED,450,119796,5108423de9e974327b0551eb8badff9fff9c2d0ff915981879075e1003bfa943,"{""20"": 119796}",0.82500159740448,0.9138011336326599,,,,,0,,official XFeat pairwise same-backend reproduction; native-q,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_014_isj_p07_aqualoc_harbor_h06_0000_m_attempt01/audit_v3.json,Frontend export audited; trajectory remains unread until global P07 export/D closeout.
