case_id,dataset_family,window,texture_role,evidence_scope,learned_active,learned_lineage_count,byte_identical_fallback,full_ape_rmse_m,klt_ape_rmse_m,full_rpe_rmse_m,klt_rpe_rmse_m,ape_valid,rpe_valid,within_5pct_rpe,solver_risk_full,solver_risk_klt,status,source_artifact,notes
a02_2800_3200,aqualoc_archaeo,A02_2800-3200,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,35.55673010799455,35.55673010799455,10.283631248648225,10.283631248648225,0,1,1,1,1,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/a02_2800_3200/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
h02_2400_2800,aqualoc_real,H02_2400-2800,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,0.21653930439495928,0.21654010473858118,0.10117504589072539,0.10117369386024747,1,1,1,1,1,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/h02_2400_2800/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
a09_4000_4400,aqualoc_archaeo,A09_4000-4400,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,1.0520457145556796,1.0520633670995438,0.24765975484310623,0.24766341891846597,0,1,1,0,0,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/a09_4000_4400/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
a02_8600_9000,aqualoc_archaeo,A02_8600-9000,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,0.07168664262846965,0.07168692256045983,0.023996333472980677,0.02399679559206966,0,1,1,1,1,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/a02_8600_9000/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
a08_4480_4680,aqualoc_archaeo,A08_4480-4680,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,0.25252668456769733,0.252534393599059,0.1399134215246967,0.13991825041534323,0,0,1,0,0,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/a08_4480_4680/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
fjord5_s110_d10,ntnu,fjord_5_s110_d10,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,6.694162731728395,6.694162731728395,3.7230109078793334,3.7230109078793334,0,1,1,0,0,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/fjord5_s110_d10/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
cirs_s450_d30,cirs,s450_d30,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,1.2367398823971991,1.2367398823971991,0.8662203216710883,0.8662203216710883,1,1,1,0,0,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/cirs_s450_d30/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
cirs_s840_d30,cirs,s840_d30,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,1.4569742695349353,1.4569742695349353,1.2368182751199108,1.2368182751199108,1,1,1,1,1,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/cirs_s840_d30/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
cirs_s960_d30,cirs,s960_d30,historical_zero_action_control,DEVELOPMENT_FROZEN_JULY_NOT_P07_CONFIRMATORY,0,0,1,1.816674715028926,1.816674715028926,0.2377259290622773,0.2377259290622773,1,1,1,0,0,PASS_EXACT_FRONTEND_FALLBACK,papers/e3_g0_common_support/cirs_s960_d30/common_support_summary.json,Texture role was not outcome-blind normal selection; retain as zero-action control only.
h07_1660_1720,aqualoc_real,H07_1660-1720,known_normal_zero_action,DEVELOPMENT_NORMAL,0,0,1,0.050207,0.050207,0.113416,0.113417,1,1,1,0,0,PASS_BYTE_IDENTICAL_NORMAL_FALLBACK,logs/may22_mirrorinject_vins_summary.csv,Both feature bags sha256=e53efe98f49724a8d285ebe2aa13da865c1e64a217b6024bcc1cc61ed65c2f22; exported learned/LoFTR observations=0.
mclab2_s110_d10,ntnu,mclab2_s110_d10,development_active_normal_profile,DEVELOPMENT_ACTIVE_NORMAL_NOT_CONFIRMATORY,1,20,0,0.02344701748362512,0.024307380265140146,0.01797244906191104,0.018356448689550477,0,1,1,1,1,PASS_RPE_NOHARM_ACTIVE_NORMAL_DEVELOPMENT,papers/e3_g0_common_support/mclab2_s110_d10/common_support_summary.json,APE common support is invalid; active-normal evidence is RPE-only and one development window.
p07_a02_0005_frontend_only,aqualoc_archaeology,A02_4500-5400,confirmatory_low_zero_action_not_normal,P07_FRONTEND_ONLY_TRAJECTORY_UNREAD,0,0,1,,,,,,,,,,PASS_FRONTEND_FALLBACK_TRAJECTORY_PENDING,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/audit_v2.json,Included only to attest the frozen P07 zero-action contract; this is a low window and not in the normal no-harm denominator.
