role,repeat,trajectory_kind,input_frames,map_resets,relocalizations,seeded_frames,attempted_seeds,accepted_seeds,seed_phase,seed_min_consecutive_ok_frames,seed_phase_summary_logged,pre_init_attempted_seeds,pre_init_accepted_seeds,post_init_attempted_seeds,post_init_accepted_seeds,phase_skipped_seeds,first_injection_frame,last_injection_frame,max_consecutive_ok_frames,seed_event_frames_logged,schema_version,complete,loaded_seed_observations,attempted_seed_observations,accepted_seed_observations,seed_lineages_loaded,seed_lineages_accepted,seed_lineages_with_mappoint,seed_lineages_surviving,accepted_observations_with_mappoint,distinct_mappoints,keyframe_observations,distinct_keyframes,event_capacity,events_recorded,events_overflowed,related_mappoint_capacity,related_mappoint_overflowed,loaded_seed_rows,phase_attempted,phase_skipped,extractor_accepted,extractor_rejected_border,extractor_rejected_native_duplicate,extractor_rejected_seed_duplicate,frame_accepted,raw_association_events,frame_final,related_mappoints,lineages,mappoint_observations_median,mappoint_observations_max,mappoint_found_ratio_median,max_covisibility_weight,phase_conservation,extractor_conservation,accepted_conservation,valid_tokens,mappoint_pointer_consistency,per_token_conservation,mappoint_pointer_key_consistency,atlas_snapshot_available,instrumentation_overflowed,instrumentation_conservation_ok,output_poses,coverage_ratio,first_output_delay_s,continuous_span_s,terminal_drop_s,ape_rmse_m,ape_median_m,ape_max_m,rpe_rmse_m,rpe_median_m,rpe_max_m,status,run_dir
orb_only,1,reconstructed,233,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.162413,0.125228,0.427332,0.184785,0.13698,0.436669,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r1
drop,1,reconstructed,233,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.162413,0.125228,0.427332,0.184785,0.13698,0.436669,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r1
full_bridge_off,1,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,155,8,122,83,131072,2061,0,131072,0,375,375,0,375,0,0,0,375,205,375,8,3,4.5,16,1,159,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.1719,0.13865,0.435356,0.184517,0.127248,0.441339,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r1
full_unbounded,1,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,322,7,213,104,131072,2496,0,131072,0,375,375,0,375,0,0,0,375,583,375,7,3,7,28,1,180,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.171565,0.127754,0.430762,0.183344,0.130729,0.443857,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_unbounded_r1
full,1,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,288,8,179,94,131072,2367,0,131072,0,375,375,0,375,0,0,0,375,522,375,8,3,9,29,0.639769,183,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.168237,0.133908,0.425032,0.182726,0.134233,0.441847,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_r1
orb_only,2,reconstructed,233,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.162413,0.125228,0.427332,0.184785,0.13698,0.436669,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r2
drop,2,reconstructed,233,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.162413,0.125228,0.427332,0.184785,0.13698,0.436669,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r2
full_bridge_off,2,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,155,8,122,83,131072,2061,0,131072,0,375,375,0,375,0,0,0,375,205,375,8,3,4.5,16,1,159,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.1719,0.13865,0.435356,0.184517,0.127248,0.441339,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r2
full_unbounded,2,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,322,7,213,104,131072,2496,0,131072,0,375,375,0,375,0,0,0,375,583,375,7,3,7,28,1,180,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.171565,0.127754,0.430762,0.183344,0.130729,0.443857,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_unbounded_r2
full,2,reconstructed,233,0,0,185,375,375,all,0,1,0,0,375,375,0,,,,0,1,1,375,375,375,3,3,2,2,288,8,179,94,131072,2367,0,131072,0,375,375,0,375,0,0,0,375,522,375,8,3,9,29,0.639769,183,1,1,1,1,1,1,1,1,0,1,224,0.9613733905579399,0.9006526470184326,22.29722785949707,-2.384185791015625e-07,0.168237,0.133908,0.425032,0.182726,0.134233,0.441847,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260804/aqualoc_a02_8520_9000/formal_n3_d14_min8_ignore0_preroll40_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_r2
