trajectory_kind,role,repeat,metric,candidate_rmse_m,native_rmse_m,absolute_difference_m,relative_change_vs_native_pct
reconstructed,orb_only,1,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,orb_only,1,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,orb_only,2,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,orb_only,2,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,orb_only,3,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,orb_only,3,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,orb_only,4,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,orb_only,4,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,drop,1,ape_rmse_m,0.003084000,0.003422000,-0.000338000,-9.877264757
reconstructed,drop,1,rpe_rmse_m,0.004463000,0.004244000,0.000219000,5.160226202
reconstructed,drop,2,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,drop,2,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,drop,3,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,drop,3,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,drop,4,ape_rmse_m,0.003422000,0.003422000,0.000000000,0.000000000
reconstructed,drop,4,rpe_rmse_m,0.004244000,0.004244000,0.000000000,0.000000000
reconstructed,full_bridge_off,1,ape_rmse_m,0.006299000,0.003422000,0.002877000,84.073641146
reconstructed,full_bridge_off,1,rpe_rmse_m,0.010923000,0.004244000,0.006679000,157.375117813
reconstructed,full_bridge_off,2,ape_rmse_m,0.006299000,0.003422000,0.002877000,84.073641146
reconstructed,full_bridge_off,2,rpe_rmse_m,0.010923000,0.004244000,0.006679000,157.375117813
reconstructed,full_bridge_off,3,ape_rmse_m,0.006299000,0.003422000,0.002877000,84.073641146
reconstructed,full_bridge_off,3,rpe_rmse_m,0.010923000,0.004244000,0.006679000,157.375117813
reconstructed,full_bridge_off,4,ape_rmse_m,0.006299000,0.003422000,0.002877000,84.073641146
reconstructed,full_bridge_off,4,rpe_rmse_m,0.010923000,0.004244000,0.006679000,157.375117813
reconstructed,full_unbounded,1,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full_unbounded,1,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full_unbounded,2,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full_unbounded,2,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full_unbounded,3,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full_unbounded,3,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full_unbounded,4,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full_unbounded,4,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full,1,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full,1,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full,2,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full,2,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full,3,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full,3,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
reconstructed,full,4,ape_rmse_m,0.003316000,0.003422000,-0.000106000,-3.097603741
reconstructed,full,4,rpe_rmse_m,0.004485000,0.004244000,0.000241000,5.678605090
online,orb_only,1,ape_rmse_m,0.004508000,0.004508000,0.000000000,0.000000000
