trajectory_kind,role,repeat_count,ape_rmse_mean_m,ape_rmse_sd_m,rpe_rmse_mean_m,rpe_rmse_sd_m,ape_relative_change_vs_native_mean_pct,ape_relative_change_vs_native_sd_pct,rpe_relative_change_vs_native_mean_pct,rpe_relative_change_vs_native_sd_pct
reconstructed,orb_only,4,0.003422000,0.000000000,0.004244000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
reconstructed,drop,4,0.003337500,0.000169000,0.004298750,0.000109500,-2.469316189,4.938632379,1.290056550,2.580113101
reconstructed,full_bridge_off,4,0.006299000,0.000000000,0.010923000,0.000000000,84.073641146,0.000000000,157.375117813,0.000000000
reconstructed,full_unbounded,4,0.003316000,0.000000000,0.004485000,0.000000000,-3.097603741,0.000000000,5.678605090,0.000000000
reconstructed,full,4,0.003316000,0.000000000,0.004485000,0.000000000,-3.097603741,0.000000000,5.678605090,0.000000000
online,orb_only,4,0.004508000,0.000000000,0.005793000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
online,drop,4,0.004570000,0.000124000,0.006005750,0.000425500,1.375332742,2.750665484,3.672535819,7.345071638
online,full_bridge_off,4,0.006949000,0.000000000,0.011471000,0.000000000,54.148181012,0.000000000,98.014845503,0.000000000
online,full_unbounded,4,0.004481000,0.000000000,0.006067000,0.000000000,-0.598935226,0.000000000,4.729846366,0.000000000
online,full,4,0.004481000,0.000000000,0.006067000,0.000000000,-0.598935226,0.000000000,4.729846366,0.000000000
