window,trajectory_kind,role,repeat,status,complete,output_poses,coverage_ratio,ape_rmse_m,rpe_rmse_m,attempted_seeds,accepted_seeds,seed_lineages_with_mappoint,seed_lineages_surviving,map_resets,relocalizations,instrumentation_overflowed,instrumentation_conservation_ok,lineage_assisted_matches_consumed,lineage_assisted_outliers_observed,lineage_pre_kf_outlier_purge_scans,lineage_pre_kf_assisted_outliers_observed,lineage_pre_kf_assisted_outliers_purged
low_texture_s30_d10,reconstructed,orb_only,1,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,drop,1,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_bridge_off,1,ok,1,126,0.6331658291457286,0.016923,0.240853,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_unbounded,1,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,full,1,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,orb_only,2,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,drop,2,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_bridge_off,2,ok,1,126,0.6331658291457286,0.016923,0.240853,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_unbounded,2,ok,1,126,0.6331658291457286,0.025814,0.239622,8,8,0,0,0,0,0,1,0,0,85,0,0
low_texture_s30_d10,reconstructed,full,2,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,orb_only,3,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,drop,3,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_bridge_off,3,ok,1,126,0.6331658291457286,0.016923,0.240853,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_unbounded,3,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,full,3,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,orb_only,4,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,drop,4,ok,1,126,0.6331658291457286,0.017459,0.239246,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_bridge_off,4,ok,1,126,0.6331658291457286,0.016923,0.240853,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,reconstructed,full_unbounded,4,ok,1,126,0.6331658291457286,0.017143,0.238865,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,reconstructed,full,4,ok,1,126,0.6331658291457286,0.016554,0.239783,8,8,0,0,0,0,0,1,0,0,85,0,0
low_texture_s30_d10,online,orb_only,1,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,drop,1,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_bridge_off,1,ok,1,126,0.6331658291457286,0.038326,0.23336,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_unbounded,1,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,full,1,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,orb_only,2,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,drop,2,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_bridge_off,2,ok,1,126,0.6331658291457286,0.038326,0.23336,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_unbounded,2,ok,1,126,0.6331658291457286,0.043731,0.231031,8,8,0,0,0,0,0,1,0,0,85,0,0
low_texture_s30_d10,online,full,2,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,orb_only,3,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,drop,3,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_bridge_off,3,ok,1,126,0.6331658291457286,0.038326,0.23336,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_unbounded,3,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,full,3,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,orb_only,4,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,drop,4,ok,1,126,0.6331658291457286,0.029706,0.232416,0,0,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_bridge_off,4,ok,1,126,0.6331658291457286,0.038326,0.23336,8,8,0,0,0,0,0,1,0,0,0,0,0
low_texture_s30_d10,online,full_unbounded,4,ok,1,126,0.6331658291457286,0.033311,0.234293,8,8,0,0,0,0,0,1,0,0,90,0,0
low_texture_s30_d10,online,full,4,ok,1,126,0.6331658291457286,0.033535,0.233595,8,8,0,0,0,0,0,1,0,0,85,0,0
normal_texture_s50_d20,reconstructed,orb_only,1,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,0,0,0
normal_texture_s50_d20,reconstructed,drop,1,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,0,0,0
normal_texture_s50_d20,reconstructed,full,1,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,240,0,0
normal_texture_s50_d20,reconstructed,orb_only,2,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,0,0,0
normal_texture_s50_d20,reconstructed,drop,2,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,0,0,0
normal_texture_s50_d20,reconstructed,full,2,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,240,0,0
normal_texture_s50_d20,reconstructed,orb_only,3,ok,1,390,0.9774436090225563,0.31616,0.218529,0,0,0,0,0,0,0,1,0,0,0,0,0
