role,repeat,trajectory_kind,input_frames,map_resets,relocalizations,seeded_frames,attempted_seeds,accepted_seeds,seed_phase,seed_min_consecutive_ok_frames,seed_phase_summary_logged,pre_init_attempted_seeds,pre_init_accepted_seeds,post_init_attempted_seeds,post_init_accepted_seeds,phase_skipped_seeds,first_injection_frame,last_injection_frame,max_consecutive_ok_frames,seed_event_frames_logged,schema_version,complete,loaded_seed_observations,attempted_seed_observations,accepted_seed_observations,seed_lineages_loaded,seed_lineages_accepted,seed_lineages_with_mappoint,seed_lineages_surviving,accepted_observations_with_mappoint,distinct_mappoints,keyframe_observations,distinct_keyframes,event_capacity,events_recorded,events_overflowed,related_mappoint_capacity,related_mappoint_overflowed,loaded_seed_rows,phase_attempted,phase_skipped,extractor_accepted,extractor_rejected_border,extractor_rejected_native_duplicate,extractor_rejected_seed_duplicate,frame_accepted,raw_association_events,frame_final,related_mappoints,lineages,mappoint_observations_median,mappoint_observations_max,mappoint_found_ratio_median,max_covisibility_weight,phase_conservation,extractor_conservation,accepted_conservation,valid_tokens,mappoint_pointer_consistency,per_token_conservation,mappoint_pointer_key_consistency,atlas_snapshot_available,instrumentation_overflowed,instrumentation_conservation_ok,output_poses,coverage_ratio,first_output_delay_s,continuous_span_s,terminal_drop_s,ape_rmse_m,ape_median_m,ape_max_m,rpe_rmse_m,rpe_median_m,rpe_max_m,status,run_dir
orb_only,1,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r1
drop,1,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r1
full_bridge_off,1,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,79,6,97,40,131072,618,0,131072,0,89,89,0,87,2,0,0,87,122,87,6,3,15,30,0.5,853,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.033102,0.026528,0.064115,0.100275,0.098328,0.113593,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r1
full_unbounded,1,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,84,10,108,38,131072,656,0,131072,0,89,89,0,87,2,0,0,87,131,87,10,3,5.5,29,0.49,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037236,0.032523,0.064895,0.111311,0.117383,0.126336,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_unbounded_r1
full,1,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,82,11,107,37,131072,651,0,131072,0,89,89,0,87,2,0,0,87,130,87,11,3,5,30,0.5,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037962,0.030828,0.064704,0.113613,0.117039,0.127219,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_r1
orb_only,2,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r2
drop,2,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r2
full_bridge_off,2,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,79,6,97,40,131072,618,0,131072,0,89,89,0,87,2,0,0,87,122,87,6,3,15,30,0.5,853,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.033102,0.026528,0.064115,0.100275,0.098328,0.113593,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r2
full_unbounded,2,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,84,10,108,38,131072,656,0,131072,0,89,89,0,87,2,0,0,87,131,87,10,3,5.5,29,0.49,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037236,0.032523,0.064895,0.111311,0.117383,0.126336,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_unbounded_r2
full,2,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,82,11,107,37,131072,651,0,131072,0,89,89,0,87,2,0,0,87,130,87,11,3,5,30,0.5,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037962,0.030828,0.064704,0.113613,0.117039,0.127219,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_r2
orb_only,3,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r3
drop,3,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r3
full_bridge_off,3,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,79,6,97,40,131072,618,0,131072,0,89,89,0,87,2,0,0,87,122,87,6,3,15,30,0.5,853,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.033102,0.026528,0.064115,0.100275,0.098328,0.113593,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r3
full_unbounded,3,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,84,10,108,38,131072,656,0,131072,0,89,89,0,87,2,0,0,87,131,87,10,3,5.5,29,0.49,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037236,0.032523,0.064895,0.111311,0.117383,0.126336,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_unbounded_r3
full,3,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,82,11,107,37,131072,651,0,131072,0,89,89,0,87,2,0,0,87,130,87,11,3,5,30,0.5,780,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.037962,0.030828,0.064704,0.113613,0.117039,0.127219,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_r3
orb_only,4,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/orb_only_r4
drop,4,online,170,0,0,0,0,0,all,0,1,0,0,0,0,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,131072,0,0,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.032572,0.029398,0.060197,0.101241,0.102381,0.117163,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/drop_r4
full_bridge_off,4,online,170,0,0,37,89,87,all,0,1,0,0,89,87,0,,,,0,1,1,89,89,87,3,3,3,3,79,6,97,40,131072,618,0,131072,0,89,89,0,87,2,0,0,87,122,87,6,3,15,30,0.5,853,1,1,1,1,1,1,1,1,0,1,162,0.9529411764705882,0.7998554706573486,16.106504917144775,-2.384185791015625e-07,0.033102,0.026528,0.064115,0.100275,0.098328,0.113593,ok,/mnt/data/AQUA-FE_WS/orbslam3_seeded_validation/postinit_candidate_search_20260805/aqualoc_h05_900_1240/formal_n3_d14_min8_ignore0_clean_v23_lineagefirst_lateenforce_dualgateack_equalruntime_singlecpu2_noaslr_fivearm_h100_q09/full_bridge_off_r4
