candidate_id,window,role,repeat,attempted,accepted,post_init_accepted,seed_lineages_with_mappoint,seed_lineages_surviving,distinct_mappoints,assisted_matches,assisted_outliers_total,pre_kf_outliers,purge_scans,purged
A08_4500_4660,4500-4660,orb_only,1,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,orb_only,2,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,orb_only,3,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,orb_only,4,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,drop,1,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,drop,2,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,drop,3,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,drop,4,0,0,0,0,0,0,0,0,0,0,0
A08_4500_4660,4500-4660,full_bridge_off,1,70,70,70,1,1,2,0,0,0,0,0
A08_4500_4660,4500-4660,full_bridge_off,2,70,70,70,1,1,2,0,0,0,0,0
A08_4500_4660,4500-4660,full_bridge_off,3,70,70,70,1,1,2,0,0,0,0,0
A08_4500_4660,4500-4660,full_bridge_off,4,70,70,70,1,1,2,0,0,0,0,0
A08_4500_4660,4500-4660,full_unbounded,1,70,70,70,1,1,3,38,4,3,109,0
A08_4500_4660,4500-4660,full_unbounded,2,70,70,70,1,1,3,38,4,3,109,0
A08_4500_4660,4500-4660,full_unbounded,3,70,70,70,1,1,3,38,4,3,109,0
A08_4500_4660,4500-4660,full_unbounded,4,70,70,70,1,1,3,38,4,3,109,0
A08_4500_4660,4500-4660,full,1,70,70,70,1,1,3,32,23,10,111,10
A08_4500_4660,4500-4660,full,2,70,70,70,1,1,3,32,23,10,111,10
A08_4500_4660,4500-4660,full,3,70,70,70,1,1,3,32,23,10,111,10
A08_4500_4660,4500-4660,full,4,70,70,70,1,1,3,32,23,10,111,10
A10_400_800,400-800,orb_only,1,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,orb_only,2,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,orb_only,3,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,orb_only,4,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,drop,1,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,drop,2,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,drop,3,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,drop,4,0,0,0,0,0,0,0,0,0,0,0
A10_400_800,400-800,full_bridge_off,1,52,52,52,1,1,5,0,0,0,0,0
A10_400_800,400-800,full_bridge_off,2,52,52,52,1,1,5,0,0,0,0,0
A10_400_800,400-800,full_bridge_off,3,52,52,52,1,1,5,0,0,0,0,0
A10_400_800,400-800,full_bridge_off,4,52,52,52,1,1,5,0,0,0,0,0
A10_400_800,400-800,full_unbounded,1,52,52,52,1,1,7,27,1,1,262,0
A10_400_800,400-800,full_unbounded,2,52,52,52,1,1,7,27,1,1,262,0
A10_400_800,400-800,full_unbounded,3,52,52,52,1,1,7,27,1,1,262,0
A10_400_800,400-800,full_unbounded,4,52,52,52,1,1,7,27,1,1,262,0
A10_400_800,400-800,full,1,52,52,52,1,1,6,28,1,1,261,1
A10_400_800,400-800,full,2,52,52,52,1,1,6,28,1,1,261,1
A10_400_800,400-800,full,3,52,52,52,1,1,6,28,1,1,261,1
A10_400_800,400-800,full,4,52,52,52,1,1,6,28,1,1,261,1
A02_2800_3200,2800-3200,orb_only,1,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,orb_only,2,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,orb_only,3,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,orb_only,4,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,drop,1,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,drop,2,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,drop,3,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,drop,4,0,0,0,0,0,0,0,0,0,0,0
A02_2800_3200,2800-3200,full_bridge_off,1,106,106,106,1,1,2,0,0,0,0,0
A02_2800_3200,2800-3200,full_bridge_off,2,106,106,106,1,1,2,0,0,0,0,0
A02_2800_3200,2800-3200,full_bridge_off,3,106,106,106,1,1,2,0,0,0,0,0
A02_2800_3200,2800-3200,full_bridge_off,4,106,106,106,1,1,2,0,0,0,0,0
A02_2800_3200,2800-3200,full_unbounded,1,106,106,106,1,1,4,7,3,3,321,0
A02_2800_3200,2800-3200,full_unbounded,2,106,106,106,1,1,4,7,3,3,321,0
A02_2800_3200,2800-3200,full_unbounded,3,106,106,106,1,1,4,7,3,3,321,0
A02_2800_3200,2800-3200,full_unbounded,4,106,106,106,1,1,4,7,3,3,321,0
A02_2800_3200,2800-3200,full,1,106,106,106,1,1,4,7,3,3,338,3
A02_2800_3200,2800-3200,full,2,106,106,106,1,1,4,7,3,3,338,3
A02_2800_3200,2800-3200,full,3,106,106,106,1,1,4,7,3,3,338,3
A02_2800_3200,2800-3200,full,4,106,106,106,1,1,4,7,3,3,338,3
