window_id,trajectory,role,ape_rmse_m,rpe_rmse_m,ape_vs_native_pct,rpe_vs_native_pct,ape_vs_unbounded_pct,rpe_vs_unbounded_pct,repeatwise_directional_checks,metric_label
A10_2400_2800,reconstructed,native,0.014089,0.017840,0.000,0.000,0.000,0.000,0,control
A10_2400_2800,reconstructed,full,0.011993,0.016178,-14.877,-9.316,-14.952,-17.905,3/4_vs_unbounded,aggregate_trajectory_positive
A10_2400_2800,online,native,0.029865,0.034533,0.000,0.000,0.000,0.000,0,control
A10_2400_2800,online,full,0.023529,0.019948,-21.215,-42.235,-27.868,-27.723,3/4_vs_unbounded,aggregate_trajectory_positive
A02_2800_3200,reconstructed,native_or_drop,0.077687,0.037684,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
A02_2800_3200,reconstructed,full,0.023321,0.021781,-69.981,-42.201,-74.299,-46.039,4/4_vs_all,repeatwise_strict
A02_2800_3200,online,native_or_drop,0.066472,0.032750,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
A02_2800_3200,online,full,0.022080,0.018213,-66.783,-44.388,-71.308,-44.832,4/4_vs_all,repeatwise_strict
A08_4500_4660,reconstructed,native_or_drop,0.183661,0.332345,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
A08_4500_4660,reconstructed,full,0.124809,0.240456,-32.044,-27.649,-6.133,-1.747,4/4_action_not_metric,action_positive_metric_mixed
A08_4500_4660,online,native_or_drop,0.120957,0.308958,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
A08_4500_4660,online,full,0.180265,0.321966,49.032,4.210,1.735,-0.531,4/4_action_not_metric,action_positive_metric_mixed
NTNU_mclab2_s110_d10,reconstructed,native_or_drop,0.112179,0.065230,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
NTNU_mclab2_s110_d10,reconstructed,full,0.100976,0.069453,-9.987,6.474,1.666,0.373,0/4_vs_all,action_positive_metric_mixed
NTNU_mclab2_s110_d10,online,native_or_drop,0.112747,0.066187,0.000,0.000,0.000,0.000,0/4_vs_unbounded,control
NTNU_mclab2_s110_d10,online,full,0.128611,0.070706,14.070,6.828,-2.514,0.167,0/4_vs_all,action_positive_metric_mixed
NTNU_mclab1_s60_d15,reconstructed,native_or_drop,0.018122,0.062520,0.000,0.000,0.000,0.000,4/4_vs_all,repeatwise_strict
NTNU_mclab1_s60_d15,reconstructed,full,0.018007,0.062446,-0.635,-0.118,-4.305,-0.054,4/4_vs_all,repeatwise_strict
NTNU_mclab1_s60_d15,online,native_or_drop,0.052752,0.063240,0.000,0.000,0.000,0.000,4/4_vs_all,repeatwise_strict
NTNU_mclab1_s60_d15,online,full,0.035048,0.062985,-33.561,-0.403,-14.638,-0.128,4/4_vs_all,repeatwise_strict
