timestamp,reference_valid,B1_valid,common_valid,segment_id
1542883802.2091215,1,0,0,-1
1542883803.2091215,1,0,0,-1
1542883804.2091215,1,0,0,-1
1542883805.2091215,1,0,0,-1
1542883806.2091215,1,1,1,0
1542883807.2091215,1,1,1,0
1542883808.2091215,1,1,1,0
1542883809.2091215,1,1,1,0
1542883810.2091215,1,1,1,0
1542883811.2091215,1,1,1,0
1542883812.2091215,1,1,1,0
1542883813.2091215,1,1,1,0
1542883814.2091215,1,1,1,0
1542883815.2091215,1,1,1,0
1542883816.2091215,1,1,1,0
1542883817.2091215,1,1,1,0
1542883818.2091215,1,1,1,0
1542883819.2091215,1,1,1,0
1542883820.2091215,1,1,1,0
1542883821.2091215,1,1,1,0
1542883822.2091215,1,1,1,0
1542883823.2091215,1,1,1,0
1542883824.2091215,1,1,1,0
1542883825.2091215,1,1,1,0
1542883826.2091215,1,1,1,0
1542883827.2091215,1,1,1,0
1542883828.2091215,1,1,1,0
1542883829.2091215,1,1,1,0
1542883830.2091215,1,1,1,0
1542883831.2091215,1,1,1,0
1542883832.2091215,1,1,1,0
1542883833.2091215,1,1,1,0
1542883834.2091215,1,1,1,0
1542883835.2091215,1,1,1,0
1542883836.2091215,1,1,1,0
1542883837.2091215,1,1,1,0
1542883838.2091215,1,1,1,0
1542883839.2091215,1,1,1,0
1542883840.2091215,1,1,1,0
1542883841.2091215,1,1,1,0
1542883842.2091215,1,1,1,0
1542883843.2091215,1,1,1,0
1542883844.2091215,1,1,1,0
1542883845.2091215,1,1,1,0
