timestamp,reference_valid,B1_valid,common_valid,segment_id
1523958902.032263,1,0,0,-1
1523958902.532263,1,0,0,-1
1523958903.032263,1,0,0,-1
1523958903.532263,1,1,1,0
1523958904.032263,1,1,1,0
1523958904.532263,1,1,1,0
1523958905.032263,1,1,1,0
1523958905.532263,1,1,1,0
1523958906.032263,1,1,1,0
1523958906.532263,1,1,1,0
1523958907.032263,1,1,1,0
1523958907.532263,1,1,1,0
1523958908.032263,1,1,1,0
1523958908.532263,1,1,1,0
1523958909.032263,1,1,1,0
1523958909.532263,1,1,1,0
1523958910.032263,1,1,1,0
1523958910.532263,1,1,1,0
1523958911.032263,1,1,1,0
1523958911.532263,1,1,1,0
1523958912.032263,1,1,1,0
1523958912.532263,1,1,1,0
1523958913.032263,1,1,1,0
1523958913.532263,1,1,1,0
1523958914.032263,1,1,1,0
1523958914.532263,1,1,1,0
1523958915.032263,1,1,1,0
1523958915.532263,1,1,1,0
1523958916.032263,1,1,1,0
1523958916.532263,1,1,1,0
1523958917.032263,1,1,1,0
1523958917.532263,1,1,1,0
1523958918.032263,1,1,1,0
1523958918.532263,1,1,1,0
1523958919.032263,1,1,1,0
1523958919.532263,1,1,1,0
1523958920.032263,1,1,1,0
1523958920.532263,1,1,1,0
1523958921.032263,1,1,1,0
1523958921.532263,1,1,1,0
1523958922.032263,1,1,1,0
1523958922.532263,1,1,1,0
1523958923.032263,1,1,1,0
1523958923.532263,1,1,1,0
1523958924.032263,1,1,1,0
1523958924.532263,1,1,1,0
1523958925.032263,1,1,1,0
1523958925.532263,1,1,1,0
1523958926.032263,1,1,1,0
1523958926.532263,1,1,1,0
1523958927.032263,1,1,1,0
1523958927.532263,1,1,1,0
1523958928.032263,1,1,1,0
1523958928.532263,1,1,1,0
1523958929.032263,1,1,1,0
1523958929.532263,1,1,1,0
1523958930.032263,1,1,1,0
1523958930.532263,1,1,1,0
1523958931.032263,1,1,1,0
1523958931.532263,1,1,1,0
1523958932.032263,1,1,1,0
1523958932.532263,1,1,1,0
1523958933.032263,1,1,1,0
1523958933.532263,1,1,1,0
1523958934.032263,1,1,1,0
1523958934.532263,1,1,1,0
1523958935.032263,1,1,1,0
1523958935.532263,1,1,1,0
1523958936.032263,1,1,1,0
1523958936.532263,1,1,1,0
1523958937.032263,1,1,1,0
1523958937.532263,1,1,1,0
1523958938.032263,1,1,1,0
1523958938.532263,1,1,1,0
1523958939.032263,1,1,1,0
1523958939.532263,1,1,1,0
1523958940.032263,1,1,1,0
1523958940.532263,1,1,1,0
1523958941.032263,1,1,1,0
1523958941.532263,1,1,1,0
1523958942.032263,1,1,1,0
1523958942.532263,1,1,1,0
1523958943.032263,1,1,1,0
1523958943.532263,1,1,1,0
1523958944.032263,1,1,1,0
1523958944.532263,1,1,1,0
1523958945.032263,1,1,1,0
1523958945.532263,1,1,1,0
1523958946.032263,1,1,1,0
1523958946.532263,1,1,1,0
1523958947.032263,1,0,0,-1
