timestamp,reference_valid,B1_valid,common_valid,segment_id
1700603752.8582888,1,0,0,-1
1700603752.9582889,1,0,0,-1
1700603753.0582888,1,0,0,-1
1700603753.1582887,1,0,0,-1
1700603753.2582889,1,0,0,-1
1700603753.3582888,1,0,0,-1
1700603753.4582889,1,0,0,-1
1700603753.5582888,1,0,0,-1
1700603753.6582887,1,0,0,-1
1700603753.7582889,1,0,0,-1
1700603753.8582888,1,0,0,-1
1700603753.9582889,1,1,1,0
1700603754.0582888,1,1,1,0
1700603754.1582887,1,1,1,0
1700603754.2582889,1,1,1,0
1700603754.3582888,1,1,1,0
1700603754.4582889,1,1,1,0
1700603754.5582888,1,1,1,0
1700603754.6582887,1,1,1,0
1700603754.7582889,1,1,1,0
1700603754.8582888,1,1,1,0
1700603754.9582889,1,1,1,0
1700603755.0582888,1,1,1,0
1700603755.1582887,1,1,1,0
1700603755.2582889,1,1,1,0
1700603755.3582888,1,1,1,0
1700603755.4582889,1,1,1,0
1700603755.5582888,1,1,1,0
1700603755.6582887,1,1,1,0
1700603755.7582889,1,1,1,0
1700603755.8582888,1,1,1,0
1700603755.9582889,1,1,1,0
1700603756.0582888,1,1,1,0
1700603756.1582887,1,1,1,0
1700603756.2582889,1,1,1,0
1700603756.3582888,1,1,1,0
1700603756.4582889,1,1,1,0
1700603756.5582888,1,1,1,0
1700603756.6582887,1,1,1,0
1700603756.7582889,1,1,1,0
1700603756.8582888,1,1,1,0
1700603756.9582889,1,1,1,0
1700603757.0582888,1,1,1,0
1700603757.1582887,1,1,1,0
1700603757.2582889,1,1,1,0
1700603757.3582888,1,1,1,0
1700603757.4582889,1,1,1,0
1700603757.5582888,1,1,1,0
1700603757.6582887,1,1,1,0
1700603757.7582889,1,1,1,0
1700603757.8582888,1,1,1,0
1700603757.9582889,1,1,1,0
1700603758.0582888,1,1,1,0
1700603758.1582887,1,1,1,0
1700603758.2582889,1,1,1,0
1700603758.3582888,1,1,1,0
1700603758.4582889,1,1,1,0
1700603758.5582888,1,1,1,0
1700603758.6582887,1,1,1,0
1700603758.7582889,1,1,1,0
1700603758.8582888,1,1,1,0
1700603758.9582889,1,1,1,0
1700603759.0582888,1,1,1,0
1700603759.1582887,1,1,1,0
1700603759.2582889,1,1,1,0
1700603759.3582888,1,1,1,0
1700603759.4582889,1,1,1,0
1700603759.5582888,1,1,1,0
1700603759.6582887,1,1,1,0
1700603759.7582889,1,1,1,0
1700603759.8582888,1,1,1,0
1700603759.9582889,1,1,1,0
1700603760.0582888,1,1,1,0
1700603760.1582887,1,1,1,0
1700603760.2582889,1,1,1,0
1700603760.3582888,1,1,1,0
1700603760.4582889,1,1,1,0
1700603760.5582888,1,1,1,0
1700603760.6582887,1,1,1,0
1700603760.7582889,1,1,1,0
1700603760.8582888,1,1,1,0
1700603760.9582889,1,1,1,0
1700603761.0582888,1,1,1,0
1700603761.1582887,1,1,1,0
1700603761.2582889,1,1,1,0
1700603761.3582888,1,1,1,0
1700603761.4582889,1,1,1,0
1700603761.5582888,1,1,1,0
1700603761.6582887,1,1,1,0
1700603761.7582889,1,1,1,0
1700603761.8582888,1,1,1,0
1700603761.9582889,1,1,1,0
1700603762.0582888,1,1,1,0
1700603762.1582887,1,1,1,0
1700603762.2582889,1,1,1,0
1700603762.3582888,1,1,1,0
1700603762.4582889,1,1,1,0
1700603762.5582888,1,1,1,0
1700603762.6582887,1,1,1,0
1700603762.7582889,1,1,1,0
1700603762.8582888,1,1,1,0
1700603762.9582889,1,1,1,0
1700603763.0582888,1,1,1,0
1700603763.1582887,1,1,1,0
1700603763.2582889,1,1,1,0
1700603763.3582888,1,1,1,0
1700603763.4582889,1,1,1,0
1700603763.5582888,1,1,1,0
1700603763.6582887,1,1,1,0
1700603763.7582889,1,1,1,0
1700603763.8582888,1,1,1,0
1700603763.9582889,1,1,1,0
1700603764.0582888,1,1,1,0
1700603764.1582887,1,1,1,0
1700603764.2582889,1,1,1,0
1700603764.3582888,1,1,1,0
1700603764.4582889,1,1,1,0
1700603764.5582888,1,1,1,0
1700603764.6582887,1,1,1,0
1700603764.7582889,1,1,1,0
1700603764.8582888,1,1,1,0
1700603764.9582889,1,1,1,0
1700603765.0582888,1,1,1,0
1700603765.1582887,1,1,1,0
1700603765.2582889,1,1,1,0
1700603765.3582888,1,1,1,0
1700603765.4582889,1,1,1,0
1700603765.5582888,1,1,1,0
1700603765.6582887,1,1,1,0
1700603765.7582889,1,1,1,0
1700603765.8582888,1,1,1,0
1700603765.9582889,1,1,1,0
1700603766.0582888,1,1,1,0
1700603766.1582887,1,1,1,0
1700603766.2582889,1,1,1,0
1700603766.3582888,1,1,1,0
1700603766.4582889,1,1,1,0
1700603766.5582888,1,1,1,0
1700603766.6582887,1,1,1,0
1700603766.7582889,1,1,1,0
1700603766.8582888,1,1,1,0
1700603766.9582889,1,1,1,0
1700603767.0582888,1,1,1,0
1700603767.1582887,1,1,1,0
1700603767.2582889,1,1,1,0
1700603767.3582888,1,1,1,0
1700603767.4582889,1,1,1,0
1700603767.5582888,1,1,1,0
1700603767.6582887,1,1,1,0
1700603767.7582889,1,1,1,0
1700603767.8582888,1,1,1,0
1700603767.9582889,1,1,1,0
