window_id,dataset_family,sequence,window_start,window_end,texture_stratum,split_role,p_run_id,p_run_dir,p_feature_bag_path,p_feature_bag_size_bytes,p_feature_bag_sha256,b1_run_id,b1_run_dir,b1_feature_bag_path,b1_feature_bag_size_bytes,b1_feature_bag_sha256,byte_identical,p_accepted_lineage_count,p_action,p_zero_action_identity_status,d_resolution,d_status,d_resolution_evidence_path,p_audit_evidence_path,p_input_hash_manifest,p_input_hash_manifest_sha256,p_output_hash_manifest,p_output_hash_manifest_sha256,b1_input_hash_manifest,b1_input_hash_manifest_sha256,b1_output_hash_manifest,b1_output_hash_manifest_sha256,output_manifest_feature_bag_bindings_verified,trajectory_outcome_read
afrl:bus_outside:0001,afrl,bus_outside,45,90,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_afrl-bus_outside_45-90_P_f0_b00_20260806T084500Z,logs/afrl_cave_v31/external_klt_every2_isj_p07_afrl_bus_outside_0001_p_attempt01_klt_safe_fallback,logs/afrl_cave_v31/external_klt_every2_isj_p07_afrl_bus_outside_0001_p_attempt01_klt_safe_fallback/features.bag,8559733,6c929c3f172fa908cafc7f25b6e72f8ef960ab9b4a70fe1eea0571d89e7aadab,isj-nativeq-v3_P07_afrl-bus_outside_45-90_B1_f0_b00_20260806T084500Z,logs/afrl_cave_v31/external_klt_every2_isj_p07_afrl_bus_outside_0001_b1_attempt01,logs/afrl_cave_v31/external_klt_every2_isj_p07_afrl_bus_outside_0001_b1_attempt01/features.bag,8559733,6c929c3f172fa908cafc7f25b6e72f8ef960ab9b4a70fe1eea0571d89e7aadab,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/afrl_bus_outside_0001_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_029_isj_p07_afrl_bus_outside_0001_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_029_isj_p07_afrl_bus_outside_0001_p_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_029_isj_p07_afrl_bus_outside_0001_p_attempt01/output_hash_manifest.sha256,01037a3358f6afb2ef7295ab80a3a7135a3d1b58145a44e6fc227deec7d40e02,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_028_isj_p07_afrl_bus_outside_0001_b1_attempt01/input_hash_manifest.sha256,75cc8f592120b4ca3acd7e766b0d3935ff9077921c4a4c91ed035e45b152b199,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_028_isj_p07_afrl_bus_outside_0001_b1_attempt01/output_hash_manifest_v4.sha256,8e2a95b34831a3bec72d8b91eee505db202c3ca9ee4f7c76f9e7f77d5cab37db,TRUE,FALSE
aqualoc_archaeology:A01:0003,aqualoc_archaeology,A01,2700,3600,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A01_2700-3600_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0003_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0003_p_attempt01_klt_safe_fallback/features.bag,13729057,bb64de3e3eab5c88f6d69673304d6a2571951c72b8f1251b7688f4ba0537c31b,isj-nativeq-v3_P07_aqualoc_archaeology-A01_2700-3600_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0003_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0003_b1_attempt01/features.bag,13729057,bb64de3e3eab5c88f6d69673304d6a2571951c72b8f1251b7688f4ba0537c31b,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a01_0003_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_047_isj_p07_aqualoc_archaeology_a01_0003_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_047_isj_p07_aqualoc_archaeology_a01_0003_p_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_047_isj_p07_aqualoc_archaeology_a01_0003_p_attempt01/output_hash_manifest.sha256,5605e79c3e926f6184a357aa62f2b0aa9c36f16de830760b9f8874446f06e6d8,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_048_isj_p07_aqualoc_archaeology_a01_0003_b1_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_048_isj_p07_aqualoc_archaeology_a01_0003_b1_attempt01/output_hash_manifest.sha256,cb1e966bdfa8f7ada37e0df509fc93f68d992052dfcd390ebde92f6f91c84cb9,TRUE,FALSE
aqualoc_archaeology:A01:0018,aqualoc_archaeology,A01,16200,17100,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A01_16200-17100_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01_klt_safe_fallback/features.bag,13729438,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b,isj-nativeq-v3_P07_aqualoc_archaeology-A01_16200-17100_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01/features.bag,13729438,fee3985a7a3a9e960e71d26b825582756633c431fa849414ebe995818f12879b,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/a01_0018_not_applicable_v1.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_005_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01/audit_v3.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_005_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01/input_hash_manifest.sha256,451cf3dd263eae70aa1eaad1ba48d11dc2b988387a7d9de898945143d53898e4,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_005_isj_p07_aqualoc_archaeology_a01_0018_p_attempt01/output_hash_manifest.sha256,110ef6a0d151d5c6ffd6e837a6ebdff461e7284d9d7cee1f55c626c1f6bfefc0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_004_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01/input_hash_manifest.sha256,21b3aa13a182887041d8b0695a5472d7a701f1a18b63a8c73ca090955265fa67,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_004_isj_p07_aqualoc_archaeology_a01_0018_b1_attempt01/output_hash_manifest.sha256,1f8f5aa414fad496309c936b4947130bc5788ded377835821e49a2864e9e06ed,TRUE,FALSE
aqualoc_archaeology:A02:0005,aqualoc_archaeology,A02,4500,5400,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01_klt_safe_fallback/features.bag,13728676,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,isj-nativeq-v3_P07_aqualoc_archaeology-A02_4500-5400_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/features.bag,13728676,7b9cbc6b4fcfa2640a12f0f42aa99d4610b1ab43fed39027f06a6fa2928ec9f9,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/a02_0005_not_applicable_v1.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/audit_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/input_hash_manifest.sha256,3ba6ecc67d4be5b83abb03ed74d11d541ca9afcb48d75a85d328b7c5d4fa16bf,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_003_isj_p07_aqualoc_archaeology_a02_0005_p_attempt01/output_hash_manifest.sha256,8c826a424fbe7dc6f2527f16ef715f4eb6bdff6423558609f617a92f01edfd65,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_001_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/input_hash_manifest.sha256,9dbfc56f60fe290f13fd09269718d911d67cf9d66a683734ef108aa043707b6a,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_001_isj_p07_aqualoc_archaeology_a02_0005_b1_attempt01/output_hash_manifest.sha256,51f9a4665dcb792f1654470091c4a06abbf0908af7836750c44875f1b53f70fe,TRUE,FALSE
aqualoc_archaeology:A03:0001,aqualoc_archaeology,A03,900,1800,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01_klt_safe_fallback/features.bag,13729057,99f56ac805ad9c67b926442b5400a2b3bbed10fea29517ba51db5e48ea51b567,isj-nativeq-v3_P07_aqualoc_archaeology-A03_900-1800_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01/features.bag,13729057,99f56ac805ad9c67b926442b5400a2b3bbed10fea29517ba51db5e48ea51b567,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a03_0001_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_019_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01/audit_v3.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_019_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01/input_hash_manifest.sha256,75cc8f592120b4ca3acd7e766b0d3935ff9077921c4a4c91ed035e45b152b199,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_019_isj_p07_aqualoc_archaeology_a03_0001_p_attempt01/output_hash_manifest.sha256,70b3e9f72d457597f61e9360931f69bedb58975b0c8305af232ae1f06ec63819,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_021_isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01/input_hash_manifest.sha256,75cc8f592120b4ca3acd7e766b0d3935ff9077921c4a4c91ed035e45b152b199,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_021_isj_p07_aqualoc_archaeology_a03_0001_b1_attempt01/output_hash_manifest.sha256,2010fa772ac7f0db8f15791e7fc5625c03cc22d70231895678cd59ae600cf836,TRUE,FALSE
aqualoc_archaeology:A04:0002,aqualoc_archaeology,A04,1800,2700,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A04_1800-2700_P_f0_b00_20260806T084500Z_layout_attempt02,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a04_0002_p_attempt02_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a04_0002_p_attempt02_klt_safe_fallback/features.bag,13727106,aa8cb878ec40d907d63f9b2f04f92fb500b0ce9cb0a368d40e06fc2410403548,isj-nativeq-v3_P07_aqualoc_archaeology-A04_1800-2700_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a04_0002_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a04_0002_b1_attempt01/features.bag,13727106,aa8cb878ec40d907d63f9b2f04f92fb500b0ce9cb0a368d40e06fc2410403548,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a04_0002_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_055_isj_p07_aqualoc_archaeology_a04_0002_p_attempt02/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_055_isj_p07_aqualoc_archaeology_a04_0002_p_attempt02/input_hash_manifest.sha256,067e2117d74b10bb453eeb998ce386ab17f4e969bd778d2f07f7f17036483c47,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_055_isj_p07_aqualoc_archaeology_a04_0002_p_attempt02/output_hash_manifest.sha256,afe850ea488cbe1487a8c493e8e142a4cf7f742a3449392f6b3afd85b8abd133,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_057_isj_p07_aqualoc_archaeology_a04_0002_b1_attempt01/input_hash_manifest.sha256,365187fe025b65ea4fbbd09611952189998782432f7af2055bd9022ad5430fd0,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_057_isj_p07_aqualoc_archaeology_a04_0002_b1_attempt01/output_hash_manifest.sha256,2b9dbf920079725cd318ab3a063b419cee9a05bfba29a71a82fd8ddb374299ce,TRUE,FALSE
aqualoc_archaeology:A07:0001,aqualoc_archaeology,A07,900,1800,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A07_900-1800_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0001_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0001_p_attempt01_klt_safe_fallback/features.bag,13681750,c5c68e001dd4e33edf80aecc3e7f7e51f172b066b79462243a657e10e5057f67,isj-nativeq-v3_P07_aqualoc_archaeology-A07_900-1800_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0001_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0001_b1_attempt01/features.bag,13681750,c5c68e001dd4e33edf80aecc3e7f7e51f172b066b79462243a657e10e5057f67,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a07_0001_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_059_isj_p07_aqualoc_archaeology_a07_0001_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_059_isj_p07_aqualoc_archaeology_a07_0001_p_attempt01/input_hash_manifest.sha256,85ff45c5234bccfc8cd43c965757c93ea8873d015eceb3a7e1ee21a7991c9388,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_059_isj_p07_aqualoc_archaeology_a07_0001_p_attempt01/output_hash_manifest.sha256,b46222fb059341de898f3dde80eef2db9b6061ef732cf6a76489e02445aa49e6,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_060_isj_p07_aqualoc_archaeology_a07_0001_b1_attempt01/input_hash_manifest.sha256,85ff45c5234bccfc8cd43c965757c93ea8873d015eceb3a7e1ee21a7991c9388,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_060_isj_p07_aqualoc_archaeology_a07_0001_b1_attempt01/output_hash_manifest.sha256,d78fae3373e70dfbe3dd7d7954e00a5474941a1dc64f0d1d5a114fdcfec579ec,TRUE,FALSE
aqualoc_archaeology:A07:0002,aqualoc_archaeology,A07,1800,2700,low,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A07_1800-2700_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0002_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0002_p_attempt01_klt_safe_fallback/features.bag,13726281,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19,isj-nativeq-v3_P07_aqualoc_archaeology-A07_1800-2700_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0002_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a07_0002_b1_attempt01/features.bag,13726281,b50c0c16f6840df6f19bb9547674f4d38d8ef5b7b700a2d389750fc9d26b4e19,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a07_0002_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_051_isj_p07_aqualoc_archaeology_a07_0002_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_051_isj_p07_aqualoc_archaeology_a07_0002_p_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_051_isj_p07_aqualoc_archaeology_a07_0002_p_attempt01/output_hash_manifest.sha256,f8c7cb45b5af8adea704a309bf564c436918cadd2ecf38e04db572115e83f538,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_049_isj_p07_aqualoc_archaeology_a07_0002_b1_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_049_isj_p07_aqualoc_archaeology_a07_0002_b1_attempt01/output_hash_manifest.sha256,7161740bf74e4f406ca56c9eb1a6994b3212a93afddaf5e308fc351d09130c0c,TRUE,FALSE
aqualoc_archaeology:A08:0002,aqualoc_archaeology,A08,1800,2700,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A08_1800-2700_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a08_0002_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a08_0002_p_attempt01_klt_safe_fallback/features.bag,13729057,29c5740ae1351201e4c1c0d25736766a81ee48d982df650f772469c1b4ee42d5,isj-nativeq-v3_P07_aqualoc_archaeology-A08_1800-2700_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a08_0002_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a08_0002_b1_attempt01/features.bag,13729057,29c5740ae1351201e4c1c0d25736766a81ee48d982df650f772469c1b4ee42d5,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a08_0002_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_041_isj_p07_aqualoc_archaeology_a08_0002_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_041_isj_p07_aqualoc_archaeology_a08_0002_p_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_041_isj_p07_aqualoc_archaeology_a08_0002_p_attempt01/output_hash_manifest.sha256,029c21cc121b925bd73c883958836f16b5a5d7c8e7547299041e4697e0199116,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_040_isj_p07_aqualoc_archaeology_a08_0002_b1_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_040_isj_p07_aqualoc_archaeology_a08_0002_b1_attempt01/output_hash_manifest.sha256,4905759e55f4b086e47f12da80ff4f1248a34d708024b4f491c7692d9dd49ece,TRUE,FALSE
aqualoc_archaeology:A10:0007,aqualoc_archaeology,A10,6300,7200,normal,HISTORY_EXCLUDED_WINDOW_WITHIN_DEVELOPMENT_EXPOSED_SEQUENCE,isj-nativeq-v3_P07_aqualoc_archaeology-A10_6300-7200_P_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a10_0007_p_attempt01_klt_safe_fallback,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a10_0007_p_attempt01_klt_safe_fallback/features.bag,13728676,13610f2ea4b02dd13f3fc4ced46a766442992459fd949122eccb7a158b8679f4,isj-nativeq-v3_P07_aqualoc_archaeology-A10_6300-7200_B1_f0_b00_20260806T084500Z,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a10_0007_b1_attempt01,logs/aqualoc_archaeo_vins/external_klt_every2_isj_p07_aqualoc_archaeology_a10_0007_b1_attempt01/features.bag,13728676,13610f2ea4b02dd13f3fc4ced46a766442992459fd949122eccb7a158b8679f4,TRUE,0,ZERO_ACTION,PASS_BYTE_IDENTICAL_TO_B1,NOT_APPLICABLE,PASS_NOT_APPLICABLE,papers/ieee_sensors_journal_experiments/p07/d_resolutions/aqualoc_archaeology_a10_0007_not_applicable_v2.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_039_isj_p07_aqualoc_archaeology_a10_0007_p_attempt01/audit_v4.json,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_039_isj_p07_aqualoc_archaeology_a10_0007_p_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_039_isj_p07_aqualoc_archaeology_a10_0007_p_attempt01/output_hash_manifest.sha256,19358c0781b23b357db336fbc8c62c4e78665965e5c7638d0ec6e866f4051720,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_037_isj_p07_aqualoc_archaeology_a10_0007_b1_attempt01/input_hash_manifest.sha256,097743847f285a563ee60fbea1b98398c05f0757cc1ef35a1c966a44c34c65fa,papers/ieee_sensors_journal_experiments/p07/frontend_attempts/queue_037_isj_p07_aqualoc_archaeology_a10_0007_b1_attempt01/output_hash_manifest.sha256,f4a4d5581a4ca1e9b89c373c4f267e2265a9ef51637aab25a18653da60544972,TRUE,FALSE
