dataset,window,profile,arm,feature_export_reused,feature_bag_hash_bound,replay_count,valid_rpe_replays,window_arm_hard_failure,any_repeat_hard_failure,ape_median_m,ape_sample_variance_m2,ape_min_m,ape_max_m,rpe_median_m,rpe_sample_variance_m2,rpe_min_m,rpe_max_m,solver_failure_replays,solver_risk_rate,window_arm_solver_risk,scientific_units,evidence_scope,source_artifacts
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,gftt,1,0,3,3,0,0,0.14413758766805304,1.7495744041912237e-08,0.14392367210422216,0.1441654161272341,0.020438785962284364,1.0882317130680364e-10,0.020421437208291805,0.020440148271250076,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,klt,1,0,3,3,0,0,0.6703965009955828,63019.3495870815,0.6703933387116815,435.47845459819547,0.07876912063889276,1216.2220420538283,0.078768914485927,60.48295865836038,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A03_5000_5900,oldcontract_single_xfeat_lineage,learned,1,0,3,3,0,0,0.6713405819828688,0.0006686200382374982,0.6713217943776798,0.7161180149263379,0.07886866713132419,7.529665718746559e-06,0.07886669996160942,0.08362047159706638,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a03_5000_5900_common_support_all/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,classical,1,0,3,0,1,1,0.1681581829586235,2.8507691171966103e-06,0.16815424639950333,0.1710806455175714,0.12016461813343197,7.840840111285942e-07,0.12016364647525657,0.121697837401583,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
AQUALOC,A08_4500_4660,oldcontract_microburst,learned,1,0,3,0,1,1,0.13735919686490783,2.6108043970832572e-09,0.1372825416682318,0.13737939617327238,0.09934404244322241,9.005494314475108e-10,0.09929533791604495,0.09935006368895771,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260803/a08_preserve_id_common_support/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq_drop,1,0,3,3,0,0,0.12194410956808158,0.0,0.12194410956808158,0.12194410956808158,0.06275771561199799,0.0,0.06275771561199799,0.06275771561199799,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq_gftt,1,0,3,3,0,0,0.27121852160429455,2.246527933152175e-11,0.271213942201771,0.27122341992378884,0.09697385476706741,1.9639477237541297e-12,0.09697293636403702,0.09697568886995342,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq_klt,1,0,3,3,0,0,0.09433292966167672,7.647980814491412e-05,0.09249670997969062,0.10847837343177948,0.035081351671012846,7.344827814068064e-06,0.03457568837833486,0.03950213874233073,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,constq_learned,1,0,3,3,0,0,55.855043610979706,0.0,55.855043610979706,55.855043610979706,10.599716384938587,0.0,10.599716384938587,10.599716384938587,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq_drop,1,0,3,3,0,0,32.67620076780642,383.59025737138666,32.67620076780642,66.59921319468502,5.113237771380674,16.28029549560374,5.113237771380674,12.101863279076104,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq_gftt,1,0,3,3,0,0,0.22135942788073285,3.653539641255957e-17,0.22135942788073285,0.2213594383500303,0.09158222064347205,5.819615921312125e-19,0.09158222064347205,0.09158222196479138,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
NTNU,fjord1_s83_d30,historical_active_xfeat_microburst,nativeq_klt,1,0,3,3,0,0,0.0867519247825314,0.0,0.0867519247825314,0.0867519247825314,0.06572772266469162,0.0,0.06572772266469162,0.06572772266469162,0,0.0,0,1,DEVELOPMENT_TECHNICAL_REPEATS_NOT_P07_CONFIRMATORY,/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json;/mnt/data/AQUA-FE_WS/validation_20260804/ntnu_fjord1_s83_d30_common_support_nativeq_constq_xfeatq1_all/common_support_summary.json
