timestamp,reference_valid,VANILLA_ORIGIN_valid,EXTERNAL_KLT_valid,AQUAFE_PROPOSED_SAFE_valid,HFNET_SLAM_valid,common_valid,segment_id
1542883422.2692337,1,1,1,1,1,1,0
1542883423.2692337,1,1,1,1,1,1,0
1542883424.2692337,1,1,1,1,1,1,0
1542883425.2692337,1,1,1,1,1,1,0
1542883426.2692337,1,1,1,1,1,1,0
1542883427.2692337,1,1,1,1,1,1,0
1542883428.2692337,1,1,1,1,1,1,0
1542883429.2692337,1,1,1,1,1,1,0
1542883430.2692337,1,1,1,1,1,1,0
1542883431.2692337,1,1,1,1,1,1,0
1542883432.2692337,1,1,1,1,1,1,0
1542883433.2692337,1,1,1,1,1,1,0
1542883434.2692337,1,1,1,1,1,1,0
